age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
43,1,-0.2972,15.4236,0.08084,11.236,12.203,13.171,14.239,15.424,16.739,18.203,19.838,21.473,30.687,35.44,40.193,44.946
44,1,-0.3054,15.404,0.08111,11.215,12.181,13.148,14.218,15.404,16.723,18.192,19.835,21.479,30.907,35.729,40.551,45.373
45,1,-0.316,15.3849,0.0814,11.193,12.16,13.127,14.197,15.385,16.707,18.184,19.836,21.489,31.126,36.016,40.906,45.796
46,1,-0.3284,15.3675,0.0817,11.174,12.14,13.106,14.177,15.368,16.694,18.178,19.842,21.505,31.347,36.306,41.265,46.224
47,1,-0.3429,15.351,0.08201,11.156,12.121,13.087,14.158,15.351,16.683,18.174,19.85,21.526,31.565,36.591,41.617,46.643
48,1,-0.3598,15.3346,0.08234,11.139,12.103,13.067,14.139,15.335,16.671,18.172,19.862,21.552,31.785,36.878,41.971,47.064
49,1,-0.3782,15.3196,0.08267,11.123,12.086,13.05,14.122,15.32,16.662,18.172,19.877,21.582,32.006,37.167,42.328,47.489
50,1,-0.3984,15.3052,0.08302,11.108,12.07,13.032,14.105,15.305,16.653,18.174,19.895,21.617,32.226,37.454,42.682,47.91
51,1,-0.4212,15.291,0.08338,11.094,12.055,13.015,14.088,15.291,16.646,18.177,19.917,21.657,32.447,37.742,43.037,48.332
52,1,-0.4449,15.2779,0.08375,11.081,12.04,12.999,14.072,15.278,16.639,18.183,19.942,21.702,32.666,38.027,43.388,48.749
53,1,-0.4702,15.2654,0.08412,11.07,12.027,12.983,14.057,15.265,16.633,18.19,19.97,21.75,32.887,38.315,43.743,49.171
54,1,-0.4977,15.2532,0.08451,11.059,12.013,12.968,14.041,15.253,16.629,18.199,20.001,21.804,33.104,38.596,44.088,49.58
55,1,-0.5255,15.2419,0.0849,11.049,12.001,12.954,14.027,15.242,16.625,18.209,20.035,21.861,33.322,38.879,44.436,49.993
56,1,-0.5544,15.2311,0.08529,11.039,11.99,12.94,14.013,15.231,16.622,18.22,20.071,21.922,33.538,39.158,44.778,50.398
57,1,-0.5855,15.2204,0.0857,11.031,11.979,12.927,13.999,15.22,16.619,18.233,20.111,21.989,33.754,39.437,45.12,50.803
58,1,-0.6166,15.2108,0.0861,11.024,11.969,12.914,13.987,15.211,16.618,18.248,20.153,22.058,33.973,39.72,45.467,51.214
59,1,-0.6499,15.2014,0.08652,11.017,11.96,12.902,13.974,15.201,16.617,18.264,20.2,22.135,34.186,39.994,45.802,51.61
60,1,-0.6833,15.193,0.08693,11.011,11.951,12.891,13.963,15.193,16.617,18.282,20.248,22.214,34.399,40.267,46.135,52.003
61,1,-0.7387,15.2641,0.0839,11.204,12.118,13.031,14.071,15.264,16.645,18.259,20.166,22.072,23.822,26.304,28.786,31.268
62,1,-0.7621,15.2616,0.08414,11.204,12.115,13.027,14.066,15.262,16.648,18.273,20.2,22.127,23.92,26.437,28.954,31.471
63,1,-0.7856,15.2604,0.08439,11.204,12.114,13.024,14.063,15.26,16.653,18.29,20.238,22.186,24.021,26.574,29.127,31.68
64,1,-0.8089,15.2605,0.08464,11.205,12.114,13.022,14.061,15.26,16.659,18.308,20.277,22.247,24.124,26.713,29.302,31.891
65,1,-0.8322,15.2619,0.0849,11.207,12.114,13.021,14.06,15.262,16.667,18.328,20.32,22.312,24.229,26.855,29.481,32.107
