age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
188,1,-1.4022,20.2621,0.12528,13.618,14.982,16.347,18.053,20.262,23.255,27.59,34.559,41.529,43.17,50.413,57.656,64.899
189,1,-1.39,20.3211,0.12541,13.643,15.015,16.387,18.103,20.321,23.324,27.662,34.61,41.558,43.194,50.424,57.654,64.884
190,1,-1.3777,20.3796,0.12554,13.667,15.047,16.427,18.151,20.38,23.391,27.734,34.66,41.585,43.218,50.436,57.654,64.872
191,1,-1.3653,20.4376,0.12567,13.69,15.078,16.466,18.199,20.438,23.459,27.805,34.708,41.611,43.24,50.446,57.652,64.858
192,1,-1.3529,20.4951,0.12579,13.714,15.109,16.505,18.247,20.495,23.525,27.875,34.754,41.632,43.259,50.452,57.645,64.838
193,1,-1.3403,20.5521,0.12591,13.736,15.14,16.543,18.295,20.552,23.591,27.943,34.797,41.651,43.273,50.452,57.631,64.81
194,1,-1.3277,20.6085,0.12603,13.759,15.17,16.581,18.342,20.608,23.656,28.011,34.84,41.67,43.286,50.451,57.616,64.781
195,1,-1.3149,20.6644,0.12615,13.78,15.199,16.619,18.388,20.664,23.721,28.078,34.881,41.685,43.296,50.446,57.596,64.746
196,1,-1.3021,20.7197,0.12627,13.801,15.228,16.656,18.434,20.72,23.785,28.143,34.922,41.7,43.304,50.439,57.574,64.709
197,1,-1.2892,20.7745,0.12638,13.822,15.257,16.692,18.479,20.774,23.847,28.207,34.959,41.711,43.31,50.43,57.55,64.67
198,1,-1.2762,20.8287,0.1265,13.842,15.285,16.728,18.524,20.829,23.91,28.271,34.997,41.723,43.313,50.417,57.521,64.625
199,1,-1.2631,20.8824,0.12661,13.861,15.312,16.763,18.568,20.882,23.972,28.334,35.032,41.73,43.312,50.399,57.486,64.573
200,1,-1.2499,20.9355,0.12672,13.88,15.339,16.798,18.612,20.936,24.032,28.395,35.066,41.736,43.308,50.377,57.446,64.515
201,1,-1.2366,20.9881,0.12683,13.898,15.365,16.833,18.655,20.988,24.093,28.456,35.098,41.741,43.307,50.36,57.413,64.466
202,1,-1.2233,21.04,0.12694,13.916,15.391,16.867,18.698,21.04,24.152,28.515,35.13,41.744,43.3,50.335,57.37,64.405
203,1,-1.2098,21.0914,0.12704,13.933,15.417,16.9,18.741,21.091,24.211,28.573,35.158,41.743,43.293,50.311,57.329,64.347
204,1,-1.1962,21.1423,0.12715,13.95,15.441,16.933,18.782,21.142,24.269,28.63,35.187,41.743,43.279,50.277,57.275,64.273
205,1,-1.1826,21.1925,0.12726,13.965,15.465,16.965,18.823,21.192,24.327,28.687,35.215,41.743,43.268,50.248,57.228,64.208
206,1,-1.1688,21.2423,0.12736,13.981,15.489,16.997,18.864,21.242,24.383,28.742,35.24,41.737,43.253,50.213,57.173,64.133
207,1,-1.155,21.2914,0.12746,13.996,15.512,17.028,18.904,21.291,24.439,28.797,35.264,41.732,43.237,50.178,57.119,64.06
208,1,-1.141,21.34,0.12756,14.01,15.534,17.059,18.944,21.34,24.494,28.85,35.287,41.724,43.218,50.139,57.06,63.981
209,1,-1.127,21.388,0.12767,14.023,15.556,17.089,18.983,21.388,24.549,28.903,35.31,41.718,43.202,50.104,57.006,63.908
210,1,-1.1129,21.4354,0.12777,14.036,15.577,17.118,19.022,21.435,24.603,28.954,35.331,41.708,43.18,50.061,56.942,63.823
211,1,-1.0986,21.4822,0.12787,14.048,15.598,17.147,19.06,21.482,24.656,29.005,35.351,41.697,43.16,50.022,56.884,63.746
212,1,-1.0843,21.5285,0.12797,14.06,15.618,17.176,19.097,21.528,24.708,29.054,35.369,41.685,43.137,49.978,56.819,63.66
213,1,-1.0699,21.5742,0.12807,14.071,15.637,17.204,19.134,21.574,24.76,29.103,35.387,41.671,43.114,49.935,56.756,63.577
214,1,-1.0553,21.6193,0.12816,14.081,15.656,17.231,19.171,21.619,24.811,29.15,35.402,41.653,43.091,49.892,56.693,63.494
215,1,-1.0407,21.6638,0.12826,14.091,15.674,17.258,19.207,21.664,24.861,29.197,35.417,41.638,43.063,49.842,56.621,63.4
216,1,-1.026,21.7077,0.12836,14.1,15.692,17.284,19.242,21.708,24.911,29.243,35.432,41.621,43.038,49.797,56.556,63.315
217,1,-1.0112,21.751,0.12845,14.108,15.709,17.31,19.277,21.751,24.959,29.287,35.443,41.6,43.012,49.75,56.488,63.226
218,1,-0.9962,21.7937,0.12855,14.116,15.725,17.335,19.311,21.794,25.008,29.331,35.455,41.58,42.984,49.701,56.418,63.135
219,1,-0.9812,21.8358,0.12864,14.123,15.741,17.36,19.344,21.836,25.055,29.373,35.465,41.558,42.958,49.655,56.352,63.049
220,1,-0.9661,21.8773,0.12874,14.129,15.756,17.383,19.377,21.877,25.102,29.415,35.476,41.536,42.927,49.602,56.277,62.952
221,1,-0.9509,21.9182,0.12883,14.135,15.771,17.407,19.41,21.918,25.147,29.455,35.483,41.512,42.899,49.554,56.209,62.864
222,1,-0.9356,21.9585,0.12893,14.14,15.784,17.429,19.442,21.958,25.193,29.496,35.492,41.488,42.868,49.501,56.134,62.767
223,1,-0.9202,21.9982,0.12902,14.144,15.798,17.452,19.473,21.998,25.237,29.534,35.498,41.461,42.842,49.456,56.07,62.684
224,1,-0.9048,22.0374,0.12911,14.148,15.811,17.473,19.504,22.037,25.281,29.572,35.503,41.434,42.812,49.405,55.998,62.591
225,1,-0.8892,22.076,0.1292,14.151,15.823,17.495,19.535,22.076,25.324,29.609,35.507,41.406,42.781,49.353,55.925,62.497
226,1,-0.8735,22.114,0.1293,14.153,15.834,17.515,19.564,22.114,25.366,29.646,35.512,41.378,42.751,49.302,55.853,62.404
227,1,-0.8578,22.1514,0.12939,14.155,15.845,17.535,19.594,22.151,25.408,29.681,35.515,41.348,42.721,49.252,55.783,62.314
228,1,-0.8419,22.1883,0.12948,14.156,15.855,17.554,19.622,22.188,25.449,29.716,35.516,41.317,42.688,49.197,55.706,62.215
0,2,-0.0631,13.3363,0.09272,9.154,10.122,11.091,12.159,13.336,14.636,16.071,17.657,19.242,23.822,26.304,28.786,31.268
1,2,0.3481,14.5422,0.09559,9.569,10.75,11.932,13.195,14.542,15.976,17.499,19.114,20.728,23.92,26.437,28.954,31.471
2,2,0.1743,15.7713,0.09371,10.608,11.822,13.035,14.349,15.771,17.308,18.965,20.752,22.539,24.021,26.574,29.127,31.68
3,2,0.0652,16.3531,0.09255,11.14,12.357,13.574,14.903,16.353,17.934,19.657,21.533,23.409,24.124,26.713,29.302,31.891
4,2,-0.0173,16.6647,0.09168,11.455,12.666,13.877,15.206,16.665,18.266,20.024,21.955,23.885,24.229,26.855,29.481,32.107
5,2,-0.086,16.8379,0.09096,11.657,12.857,14.057,15.379,16.838,18.448,20.226,22.193,24.159,24.337,27.001,29.665,32.329
6,2,-0.1418,16.9077,0.09037,11.772,12.958,14.144,15.456,16.908,18.518,20.305,22.292,24.279,24.448,27.151,29.854,32.557
7,2,-0.19,16.9033,0.08986,11.826,12.996,14.165,15.462,16.903,18.507,20.295,22.292,24.29,24.561,27.303,30.045,32.787
8,2,-0.2337,16.8417,0.08939,11.833,12.984,14.136,15.416,16.842,18.434,20.216,22.216,24.215,24.678,27.461,30.244,33.027
9,2,-0.2714,16.7441,0.08899,11.807,12.94,14.073,15.335,16.744,18.322,20.095,22.091,24.088,24.798,27.623,30.448,33.273
10,2,-0.3053,16.6242,0.08863,11.76,12.874,13.988,15.232,16.624,18.187,19.947,21.937,23.926,24.917,27.783,30.649,33.515
11,2,-0.3373,16.491,0.08828,11.7,12.796,13.892,15.117,16.491,18.037,19.784,21.764,23.744,25.042,27.951,30.86,33.769
12,2,-0.3656,16.3621,0.08798,11.639,12.718,13.797,15.005,16.362,17.893,19.626,21.596,23.567,25.17,28.123,31.076,34.029
13,2,-0.3926,16.2339,0.08769,11.576,12.639,13.701,14.893,16.234,17.749,19.469,21.43,23.39,25.301,28.299,31.297,34.295
14,2,-0.4169,16.117,0.08742,11.518,12.566,13.614,14.791,16.117,17.618,19.325,21.277,23.228,25.435,28.479,31.523,34.567
15,2,-0.4396,16.0083,0.08718,11.463,12.498,13.533,14.696,16.008,17.497,19.192,21.135,23.078,25.571,28.661,31.751,34.841
16,2,-0.4616,15.9049,0.08694,11.411,12.433,13.455,14.605,15.905,17.381,19.066,21.0,22.935,25.712,28.85,31.988,35.126
17,2,-0.4816,15.8137,0.08672,11.365,12.376,13.387,14.526,15.814,17.278,18.954,20.881,22.808,25.854,29.04,32.226,35.412
18,2,-0.5006,15.7312,0.08651,11.324,12.325,13.326,14.454,15.731,17.186,18.852,20.773,22.694,26.003,29.24,32.477,35.714
19,2,-0.5192,15.6547,0.08631,11.287,12.278,13.269,14.387,15.655,17.1,18.758,20.673,22.589,26.15,29.436,32.722,36.008
20,2,-0.5363,15.589,0.08613,11.256,12.238,13.221,14.33,15.589,17.026,18.677,20.588,22.499,26.304,29.642,32.98,36.318
21,2,-0.5526,15.5316,0.08595,11.23,12.205,13.179,14.281,15.532,16.961,18.606,20.513,22.419,26.462,29.853,33.244,36.635
22,2,-0.5687,15.4811,0.08577,11.209,12.176,13.144,14.237,15.481,16.904,18.543,20.447,22.35,26.622,30.066,33.51,36.954
23,2,-0.5836,15.4405,0.08561,11.193,12.154,13.116,14.203,15.44,16.858,18.493,20.394,22.295,26.785,30.283,33.781,37.279
24,2,-0.5979,15.4072,0.08546,11.182,12.138,13.093,14.175,15.407,16.82,18.451,20.351,22.251,26.953,30.507,34.061,37.615
25,2,-0.5684,15.6608,0.08452,11.389,12.358,13.327,14.42,15.661,17.078,18.707,20.593,22.48,27.121,30.73,34.339,37.948
26,2,-0.5684,15.6329,0.08449,11.37,12.337,13.304,14.395,15.633,17.047,18.672,20.554,22.437,27.295,30.961,34.627,38.293
27,2,-0.5684,15.6062,0.08447,11.351,12.316,13.281,14.37,15.606,17.017,18.639,20.518,22.396,27.475,31.201,34.927,38.653
28,2,-0.5684,15.5796,0.08444,11.333,12.296,13.259,14.346,15.58,16.988,18.606,20.481,22.355,27.653,31.437,35.221,39.005
29,2,-0.5684,15.5545,0.08443,11.315,12.277,13.238,14.323,15.554,16.96,18.576,20.447,22.318,27.839,31.684,35.529,39.374
30,2,-0.5684,15.5301,0.08444,11.297,12.257,13.217,14.301,15.53,16.934,18.547,20.416,22.284,28.024,31.929,35.834,39.739
31,2,-0.5684,15.5054,0.08447,11.278,12.237,13.195,14.277,15.505,16.907,18.519,20.385,22.252,28.211,32.176,36.141,40.106
32,2,-0.5684,15.4821,0.08454,11.258,12.216,13.174,14.255,15.482,16.883,18.494,20.36,22.225,28.405,32.433,36.461,40.489
33,2,-0.5684,15.4597,0.08465,11.238,12.195,13.152,14.233,15.46,16.861,18.472,20.338,22.204,28.602,32.694,36.786,40.878
34,2,-0.5684,15.4376,0.08482,11.215,12.172,13.129,14.21,15.438,16.84,18.452,20.321,22.19,28.799,32.954,37.109,41.264
35,2,-0.5684,15.4176,0.08504,11.192,12.149,13.107,14.189,15.418,16.822,18.437,20.31,22.183,29.001,33.221,37.441,41.661
36,2,-0.5684,15.3984,0.08532,11.166,12.125,13.084,14.167,15.398,16.806,18.426,20.305,22.184,29.202,33.486,37.77,42.054
37,2,-0.5684,15.3813,0.08565,11.141,12.101,13.062,14.147,15.381,16.793,18.419,20.306,22.193,29.409,33.759,38.109,42.459
38,2,-0.5684,15.3656,0.08604,11.114,12.077,13.039,14.128,15.366,16.783,18.416,20.313,22.21,29.616,34.032,38.448,42.864
39,2,-0.5684,15.3507,0.08649,11.086,12.051,13.016,14.108,15.351,16.774,18.416,20.326,22.235,29.828,34.311,38.794,43.277
40,2,-0.5684,15.3373,0.08698,11.057,12.025,12.993,14.089,15.337,16.768,18.42,20.343,22.265,30.042,34.593,39.144,43.695
41,2,-0.5684,15.3248,0.0875,11.028,11.999,12.97,14.07,15.325,16.764,18.427,20.364,22.301,30.257,34.876,39.495,44.114
42,2,-0.5684,15.3128,0.08807,10.997,11.972,12.946,14.052,15.313,16.761,18.436,20.389,22.342,30.472,35.158,39.844,44.53
43,2,-0.5684,15.302,0.08864,10.967,11.945,12.924,14.034,15.302,16.759,18.446,20.415,22.385,30.687,35.44,40.193,44.946
44,2,-0.5684,15.2919,0.08923,10.937,11.919,12.902,14.017,15.292,16.758,18.458,20.444,22.431,30.907,35.729,40.551,45.373
45,2,-0.5684,15.2824,0.08984,10.906,11.893,12.879,14.0,15.282,16.759,18.472,20.476,22.48,31.126,36.016,40.906,45.796
46,2,-0.5684,15.2742,0.09043,10.878,11.868,12.859,13.985,15.274,16.76,18.486,20.508,22.53,31.347,36.306,41.265,46.224
47,2,-0.5684,15.2671,0.09101,10.851,11.845,12.839,13.971,15.267,16.763,18.501,20.541,22.58,31.565,36.591,41.617,46.643
48,2,-0.5684,15.2609,0.09161,10.823,11.822,12.82,13.957,15.261,16.766,18.519,20.576,22.633,31.785,36.878,41.971,47.064
49,2,-0.5684,15.2562,0.09219,10.798,11.8,12.803,13.945,15.256,16.771,18.537,20.612,22.687,32.006,37.167,42.328,47.489
50,2,-0.5684,15.2527,0.09277,10.773,11.78,12.786,13.934,15.253,16.778,18.557,20.65,22.743,32.226,37.454,42.682,47.91
51,2,-0.5684,15.2505,0.09337,10.749,11.76,12.77,13.924,15.25,16.786,18.579,20.691,22.804,32.447,37.742,43.037,48.332
52,2,-0.5684,15.2497,0.09394,10.727,11.742,12.757,13.916,15.25,16.795,18.602,20.732,22.863,32.666,38.027,43.388,48.749
53,2,-0.5684,15.25,0.0945,10.706,11.725,12.744,13.909,15.25,16.806,18.625,20.774,22.923,32.887,38.315,43.743,49.171
54,2,-0.5684,15.2515,0.09507,10.686,11.709,12.732,13.903,15.252,16.817,18.651,20.819,22.987,33.104,38.596,44.088,49.58
55,2,-0.5684,15.2539,0.09559,10.668,11.695,12.722,13.898,15.254,16.829,18.676,20.861,23.046,33.322,38.879,44.436,49.993
56,2,-0.5684,15.2569,0.09609,10.651,11.682,12.713,13.894,15.257,16.841,18.7,20.902,23.104,33.538,39.158,44.778,50.398
57,2,-0.5684,15.2606,0.09657,10.636,11.671,12.705,13.891,15.261,16.854,18.725,20.944,23.162,33.754,39.437,45.12,50.803
58,2,-0.5684,15.2646,0.09701,10.623,11.661,12.699,13.889,15.265,16.866,18.748,20.982,23.216,33.973,39.72,45.467,51.214
59,2,-0.5684,15.2691,0.09744,10.61,11.651,12.692,13.888,15.269,16.879,18.772,21.021,23.269,34.186,39.994,45.802,51.61
60,2,-0.5684,15.2738,0.09782,10.599,11.643,12.688,13.887,15.274,16.891,18.794,21.056,23.318,34.399,40.267,46.135,52.003
61,2,-0.8886,15.2441,0.09692,10.793,11.77,12.748,13.891,15.244,16.87,18.858,21.34,23.821,23.822,26.304,28.786,31.268
62,2,-0.9068,15.2434,0.09738,10.786,11.763,12.741,13.885,15.243,16.879,18.886,21.403,23.92,23.92,26.437,28.954,31.471
63,2,-0.9248,15.2433,0.09783,10.78,11.757,12.734,13.881,15.243,16.889,18.915,21.468,24.02,24.021,26.574,29.127,31.68
64,2,-0.9427,15.2438,0.09829,10.775,11.752,12.728,13.876,15.244,16.9,18.946,21.535,24.123,24.124,26.713,29.302,31.891
65,2,-0.9605,15.2448,0.09875,10.77,11.746,12.723,13.872,15.245,16.911,18.977,21.603,24.23,24.229,26.855,29.481,32.107
66,2,-0.978,15.2464,0.0992,10.765,11.742,12.718,13.869,15.246,16.923,19.009,21.673,24.337,24.337,27.001,29.665,32.329
67,2,-0.9954,15.2487,0.09966,10.761,11.737,12.714,13.866,15.249,16.936,19.042,21.745,24.448,24.448,27.151,29.854,32.557
68,2,-1.0126,15.2516,0.10012,10.757,11.733,12.71,13.864,15.252,16.95,19.077,21.819,24.561,24.561,27.303,30.045,32.787
69,2,-1.0296,15.2551,0.10058,10.754,11.73,12.706,13.863,15.255,16.964,19.112,21.895,24.678,24.678,27.461,30.244,33.027
70,2,-1.0464,15.2592,0.10104,10.751,11.727,12.703,13.862,15.259,16.979,19.148,21.973,24.797,24.798,27.623,30.448,33.273
71,2,-1.063,15.2641,0.10149,10.749,11.725,12.701,13.862,15.264,16.995,19.185,22.051,24.917,24.917,27.783,30.649,33.515
72,2,-1.0794,15.2697,0.10195,10.747,11.723,12.7,13.862,15.27,17.011,19.224,22.133,25.042,25.042,27.951,30.86,33.769
73,2,-1.0956,15.276,0.10241,10.745,11.722,12.699,13.863,15.276,17.029,19.264,22.217,25.17,25.17,28.123,31.076,34.029
74,2,-1.1115,15.2831,0.10287,10.744,11.721,12.698,13.865,15.283,17.047,19.305,22.303,25.301,25.301,28.299,31.297,34.295
75,2,-1.1272,15.2911,0.10333,10.744,11.721,12.699,13.867,15.291,17.067,19.347,22.391,25.435,25.435,28.479,31.523,34.567
76,2,-1.1427,15.2998,0.10379,10.744,11.722,12.7,13.87,15.3,17.087,19.391,22.481,25.572,25.571,28.661,31.751,34.841
77,2,-1.1579,15.3095,0.10425,10.745,11.723,12.701,13.874,15.31,17.108,19.436,22.574,25.712,25.712,28.85,31.988,35.126
78,2,-1.1728,15.32,0.10471,10.746,11.725,12.704,13.879,15.32,17.131,19.482,22.668,25.855,25.854,29.04,32.226,35.412
79,2,-1.1875,15.3314,0.10517,10.748,11.727,12.707,13.885,15.331,17.154,19.529,22.766,26.002,26.003,29.24,32.477,35.714
80,2,-1.2019,15.3439,0.10562,10.751,11.731,12.711,13.892,15.344,17.179,19.578,22.864,26.15,26.15,29.436,32.722,36.008
81,2,-1.216,15.3572,0.10608,10.754,11.735,12.716,13.899,15.357,17.204,19.628,22.966,26.304,26.304,29.642,32.98,36.318
82,2,-1.2298,15.3717,0.10654,10.758,11.74,12.721,13.907,15.372,17.231,19.68,23.071,26.461,26.462,29.853,33.244,36.635
83,2,-1.2433,15.3871,0.107,10.762,11.745,12.728,13.916,15.387,17.259,19.734,23.178,26.621,26.622,30.066,33.51,36.954
84,2,-1.2565,15.4036,0.10746,10.767,11.751,12.735,13.927,15.404,17.289,19.789,23.287,26.785,26.785,30.283,33.781,37.279
85,2,-1.2693,15.4211,0.10792,10.773,11.758,12.743,13.938,15.421,17.319,19.845,23.399,26.953,26.953,30.507,34.061,37.615
86,2,-1.2819,15.4397,0.10837,10.779,11.766,12.752,13.95,15.44,17.35,19.903,23.512,27.122,27.121,30.73,34.339,37.948
87,2,-1.2941,15.4593,0.10883,10.786,11.774,12.762,13.963,15.459,17.383,19.963,23.629,27.296,27.295,30.961,34.627,38.293
88,2,-1.306,15.4798,0.10929,10.793,11.783,12.772,13.976,15.48,17.417,20.023,23.749,27.474,27.475,31.201,34.927,38.653
89,2,-1.3175,15.5014,0.10974,10.802,11.793,12.783,13.991,15.501,17.452,20.085,23.869,27.653,27.653,31.437,35.221,39.005
90,2,-1.3287,15.524,0.1102,10.81,11.803,12.795,14.007,15.524,17.488,20.149,23.994,27.838,27.839,31.684,35.529,39.374
91,2,-1.3395,15.5476,0.11065,10.82,11.814,12.808,14.023,15.548,17.526,20.214,24.119,28.023,28.024,31.929,35.834,39.739
92,2,-1.3499,15.5723,0.1111,10.83,11.826,12.822,14.041,15.572,17.564,20.281,24.246,28.212,28.211,32.176,36.141,40.106
93,2,-1.36,15.5979,0.11156,10.84,11.838,12.836,14.059,15.598,17.604,20.349,24.377,28.406,28.405,32.433,36.461,40.489
94,2,-1.3697,15.6246,0.11201,10.851,11.851,12.852,14.078,15.625,17.645,20.418,24.51,28.601,28.602,32.694,36.786,40.878
95,2,-1.379,15.6523,0.11246,10.862,11.865,12.868,14.099,15.652,17.687,20.489,24.644,28.799,28.799,32.954,37.109,41.264
96,2,-1.388,15.681,0.11291,10.874,11.879,12.884,14.12,15.681,17.73,20.561,24.781,29.001,29.001,33.221,37.441,41.661
97,2,-1.3966,15.7107,0.11335,10.887,11.895,12.902,14.142,15.711,17.774,20.634,24.918,29.203,29.202,33.486,37.77,42.054
98,2,-1.4047,15.7415,0.1138,10.9,11.91,12.92,14.164,15.742,17.82,20.709,25.059,29.409,29.409,33.759,38.109,42.459
99,2,-1.4125,15.7732,0.11424,10.914,11.927,12.94,14.188,15.773,17.866,20.784,25.2,29.617,29.616,34.032,38.448,42.864
100,2,-1.4199,15.8058,0.11469,10.928,11.944,12.959,14.212,15.806,17.914,20.862,25.345,29.829,29.828,34.311,38.794,43.277
101,2,-1.427,15.8394,0.11513,10.943,11.962,12.98,14.238,15.839,17.962,20.94,25.491,30.042,30.042,34.593,39.144,43.695
102,2,-1.4336,15.8738,0.11557,10.958,11.98,13.001,14.264,15.874,18.012,21.019,25.638,30.256,30.257,34.876,39.495,44.114
103,2,-1.4398,15.909,0.11601,10.974,11.998,13.023,14.291,15.909,18.062,21.1,25.786,30.472,30.472,35.158,39.844,44.53
104,2,-1.4456,15.9451,0.11644,10.99,12.018,13.045,14.318,15.945,18.113,21.181,25.934,30.688,30.687,35.44,40.193,44.946
105,2,-1.4511,15.9818,0.11688,11.006,12.037,13.068,14.346,15.982,18.166,21.263,26.085,30.908,30.907,35.729,40.551,45.373
106,2,-1.4561,16.0194,0.11731,11.023,12.057,13.092,14.375,16.019,18.219,21.346,26.236,31.127,31.126,36.016,40.906,45.796
107,2,-1.4607,16.0575,0.11774,11.04,12.078,13.115,14.404,16.058,18.272,21.429,26.388,31.346,31.347,36.306,41.265,46.224
108,2,-1.465,16.0964,0.11816,11.057,12.099,13.14,14.434,16.096,18.326,21.513,26.539,31.565,31.565,36.591,41.617,46.643
109,2,-1.4688,16.1358,0.11859,11.075,12.12,13.165,14.465,16.136,18.381,21.599,26.692,31.786,31.785,36.878,41.971,47.064
110,2,-1.4723,16.1759,0.11901,11.092,12.141,13.19,14.496,16.176,18.437,21.684,26.845,32.007,32.006,37.167,42.328,47.489
111,2,-1.4753,16.2166,0.11943,11.11,12.163,13.216,14.527,16.217,18.493,21.77,26.998,32.227,32.226,37.454,42.682,47.91
112,2,-1.478,16.258,0.11985,11.128,12.185,13.242,14.559,16.258,18.551,21.857,27.152,32.448,32.447,37.742,43.037,48.332
113,2,-1.4803,16.2999,0.12026,11.147,12.208,13.269,14.592,16.3,18.608,21.944,27.305,32.666,32.666,38.027,43.388,48.749
114,2,-1.4823,16.3425,0.12067,11.166,12.231,13.296,14.625,16.343,18.666,22.031,27.459,32.886,32.887,38.315,43.743,49.171
115,2,-1.4838,16.3858,0.12108,11.185,12.254,13.323,14.659,16.386,18.725,22.12,27.612,33.104,33.104,38.596,44.088,49.58
116,2,-1.485,16.4298,0.12148,11.204,12.278,13.352,14.694,16.43,18.785,22.208,27.765,33.321,33.322,38.879,44.436,49.993
117,2,-1.4859,16.4746,0.12188,11.224,12.302,13.38,14.729,16.475,18.846,22.298,27.918,33.538,33.538,39.158,44.778,50.398
118,2,-1.4864,16.52,0.12228,11.244,12.327,13.41,14.764,16.52,18.907,22.388,28.071,33.755,33.754,39.437,45.12,50.803
119,2,-1.4866,16.5663,0.12268,11.265,12.352,13.439,14.801,16.566,18.969,22.479,28.226,33.972,33.973,39.72,45.467,51.214
120,2,-1.4864,16.6133,0.12307,11.285,12.378,13.47,14.838,16.613,19.032,22.57,28.378,34.185,34.186,39.994,45.802,51.61
121,2,-1.4859,16.6612,0.12346,11.307,12.404,13.501,14.876,16.661,19.096,22.663,28.531,34.399,34.399,40.267,46.135,52.003
122,2,-1.4851,16.71,0.12384,11.328,12.43,13.533,14.914,16.71,19.161,22.755,28.683,34.61,34.611,40.539,46.467,52.395
123,2,-1.4839,16.7595,0.12422,11.35,12.458,13.565,14.954,16.76,19.226,22.849,28.834,34.82,34.819,40.804,46.789,52.774
124,2,-1.4825,16.81,0.1246,11.373,12.485,13.598,14.994,16.81,19.293,22.943,28.987,35.031,35.031,41.075,47.119,53.163
125,2,-1.4807,16.8614,0.12497,11.396,12.514,13.631,15.035,16.861,19.36,23.038,29.138,35.238,35.238,41.338,47.438,53.538
126,2,-1.4787,16.9136,0.12534,11.419,12.542,13.666,15.076,16.914,19.429,23.134,29.29,35.445,35.446,41.602,47.758,53.914
127,2,-1.4763,16.9667,0.12571,11.443,12.572,13.7,15.119,16.967,19.498,23.231,29.441,35.651,35.651,41.861,48.071,54.281
128,2,-1.4737,17.0208,0.12607,11.467,12.602,13.736,15.162,17.021,19.568,23.328,29.591,35.854,35.854,42.117,48.38,54.643
129,2,-1.4708,17.0757,0.12643,11.492,12.632,13.772,15.206,17.076,19.639,23.426,29.742,36.057,36.058,42.374,48.69,55.006
130,2,-1.4677,17.1316,0.12678,11.517,12.663,13.81,15.251,17.132,19.712,23.525,29.891,36.257,36.257,42.623,48.989,55.355
131,2,-1.4642,17.1883,0.12713,11.543,12.695,13.847,15.297,17.188,19.785,23.624,30.039,36.454,36.454,42.869,49.284,55.699
132,2,-1.4606,17.2459,0.12748,11.569,12.727,13.885,15.343,17.246,19.859,23.725,30.189,36.653,36.653,43.117,49.581,56.045
133,2,-1.4567,17.3044,0.12782,11.595,12.76,13.925,15.39,17.304,19.933,23.825,30.336,36.847,36.847,43.358,49.869,56.38
134,2,-1.4526,17.3637,0.12816,11.622,12.793,13.964,15.438,17.364,20.009,23.927,30.484,37.042,37.041,43.598,50.155,56.712
135,2,-1.4482,17.4238,0.12849,11.65,12.827,14.004,15.487,17.424,20.086,24.029,30.63,37.231,37.231,43.832,50.433,57.034
136,2,-1.4436,17.4847,0.12882,11.677,12.861,14.045,15.536,17.485,20.163,24.131,30.776,37.42,37.421,44.066,50.711,57.356
137,2,-1.4389,17.5464,0.12914,11.706,12.896,14.087,15.586,17.546,20.241,24.234,30.92,37.606,37.606,44.292,50.978,57.664
138,2,-1.4339,17.6088,0.12946,11.734,12.931,14.129,15.637,17.609,20.32,24.338,31.064,37.79,37.79,44.516,51.242,57.968
139,2,-1.4288,17.6719,0.12978,11.763,12.967,14.171,15.688,17.672,20.4,24.442,31.209,37.975,37.976,44.743,51.51,58.277
140,2,-1.4235,17.7357,0.13009,11.792,13.003,14.214,15.74,17.736,20.48,24.546,31.351,38.155,38.156,44.961,51.766,58.571
141,2,-1.418,17.8001,0.1304,11.822,13.04,14.258,15.793,17.8,20.561,24.651,31.493,38.335,38.335,45.177,52.019,58.861
142,2,-1.4123,17.8651,0.1307,11.852,13.077,14.302,15.846,17.865,20.642,24.756,31.633,38.509,38.51,45.387,52.264,59.141
143,2,-1.4065,17.9306,0.13099,11.882,13.114,14.346,15.899,17.931,20.724,24.861,31.77,38.68,38.679,45.588,52.497,59.406
144,2,-1.4006,17.9966,0.13129,11.912,13.151,14.391,15.953,17.997,20.806,24.967,31.91,38.854,38.853,45.796,52.739,59.682
145,2,-1.3945,18.063,0.13158,11.942,13.189,14.436,16.008,18.063,20.889,25.072,32.047,39.023,39.022,45.997,52.972,59.947
146,2,-1.3883,18.1297,0.13186,11.973,13.227,14.481,16.062,18.13,20.972,25.177,32.182,39.187,39.187,46.192,53.197,60.202
147,2,-1.3819,18.1967,0.13214,12.003,13.265,14.526,16.117,18.197,21.055,25.282,32.316,39.35,39.35,46.384,53.418,60.452
148,2,-1.3755,18.2639,0.13241,12.034,13.303,14.572,16.172,18.264,21.138,25.387,32.448,39.509,39.509,46.57,53.631,60.692
149,2,-1.3689,18.3312,0.13268,12.065,13.341,14.618,16.227,18.331,21.222,25.491,32.579,39.666,39.667,46.755,53.843,60.931
150,2,-1.3621,18.3986,0.13295,12.095,13.379,14.663,16.282,18.399,21.305,25.596,32.708,39.82,39.82,46.932,54.044,61.156
151,2,-1.3553,18.466,0.13321,12.126,13.418,14.709,16.338,18.466,21.388,25.699,32.835,39.97,39.971,47.107,54.243,61.379
152,2,-1.3483,18.5333,0.13347,12.156,13.456,14.755,16.393,18.533,21.471,25.802,32.96,40.118,40.118,47.276,54.434,61.592
