,age_months,sex,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
135,134,1,17.031,19.287,22.637,28.357,34.077,39.797,45.516999999999996,51.236999999999995,56.956999999999994
136,135,1,17.078,19.349,22.729,28.52,34.311,40.102000000000004,45.893,51.684,57.475
137,136,1,17.126,19.413,22.822,28.684,34.545,40.407000000000004,46.269000000000005,52.13100000000001,57.99300000000001
138,137,1,17.175,19.477,22.915,28.846,34.776,40.70700000000001,46.638000000000005,52.569,58.50000000000001
139,138,1,17.224,19.542,23.009,29.008,35.006,41.004999999999995,47.004,53.003,59.001999999999995
140,139,1,17.273,19.607,23.104,29.169,35.235,41.3,47.365,53.43000000000001,59.495000000000005
141,140,1,17.324,19.674,23.199,29.329,35.46,41.59,47.72,53.849999999999994,59.98
142,141,1,17.375,19.741,23.293,29.487,35.681,41.875,48.068999999999996,54.26299999999999,60.456999999999994
143,142,1,17.427,19.808,23.389,29.645,35.901,42.157000000000004,48.413000000000004,54.669000000000004,60.925000000000004
144,143,1,17.48,19.877,23.485,29.802,36.119,42.436,48.753,55.07,61.387
145,144,1,17.533,19.946,23.581,29.957,36.333,42.709,49.085,55.461,61.837
146,145,1,17.588,20.015,23.677,30.11,36.542,42.975,49.408,55.841,62.274
147,146,1,17.643,20.086,23.774,30.262,36.75,43.238,49.726,56.214,62.702
148,147,1,17.698,20.157,23.871,30.412,36.952,43.492999999999995,50.034,56.575,63.116
149,148,1,17.755,20.229,23.969,30.561,37.154,43.746,50.338,56.93,63.522
150,149,1,17.812,20.302,24.067,30.708,37.349,43.989999999999995,50.63099999999999,57.27199999999999,63.91299999999999
151,150,1,17.87,20.375,24.165,30.854,37.543,44.232,50.921,57.61,64.299
152,151,1,17.929,20.449,24.263,30.998,37.732,44.467,51.202,57.937,64.672
153,152,1,17.989,20.524,24.362,31.138,37.915,44.691,51.467000000000006,58.24300000000001,65.019
154,153,1,18.049,20.599,24.46,31.278,38.096,44.913999999999994,51.73199999999999,58.54999999999999,65.368
155,154,1,18.11,20.675,24.559,31.417,38.275,45.132999999999996,51.991,58.849000000000004,65.707
156,155,1,18.171,20.751,24.658,31.551,38.444,45.337,52.23,59.12299999999999,66.01599999999999
157,156,1,18.233,20.829,24.757,31.686,38.616,45.545,52.474,59.40299999999999,66.332
158,157,1,18.296,20.906,24.856,31.816,38.777,45.736999999999995,52.696999999999996,59.657,66.61699999999999
159,158,1,18.359,20.984,24.954,31.945,38.936,45.927,52.918,59.909,66.9
160,159,1,18.422,21.062,25.053,32.073,39.093,46.113,53.133,60.153000000000006,67.173
161,160,1,18.486,21.14,25.152,32.197,39.243,46.288000000000004,53.333000000000006,60.37800000000001,67.423
162,161,1,18.55,21.219,25.249,32.317,39.385,46.453,53.521,60.589,67.65700000000001
163,162,1,18.615,21.298,25.347,32.436,39.525,46.614,53.702999999999996,60.791999999999994,67.881
164,163,1,18.68,21.376,25.444,32.551,39.659,46.766000000000005,53.873000000000005,60.980000000000004,68.08700000000002
165,164,1,18.744,21.455,25.54,32.663,39.786,46.909,54.032,61.154999999999994,68.27799999999999
166,165,1,18.81,21.534,25.635,32.772,39.909,47.04599999999999,54.18299999999999,61.31999999999999,68.457
167,166,1,18.875,21.613,25.731,32.88,40.03,47.179,54.328,61.477000000000004,68.626
168,167,1,18.94,21.691,25.825,32.985,40.144,47.304,54.464,61.623999999999995,68.78399999999999
169,168,1,19.005,21.77,25.918,33.084,40.25,47.416000000000004,54.58200000000001,61.74800000000001,68.91400000000002
170,169,1,19.07,21.848,26.011,33.182,40.353,47.524,54.69500000000001,61.866000000000014,69.037
171,170,1,19.135,21.926,26.103,33.279,40.454,47.63,54.806000000000004,61.982000000000006,69.15800000000002
172,171,1,19.2,22.004,26.194,33.371,40.547,47.724000000000004,54.901,62.078,69.25500000000001
173,172,1,19.265,22.081,26.284,33.459,40.634,47.809000000000005,54.98400000000001,62.15900000000001,69.33400000000002
174,173,1,19.329,22.158,26.373,33.546,40.718,47.891000000000005,55.064,62.236999999999995,69.41
175,174,1,19.394,22.235,26.462,33.631,40.8,47.968999999999994,55.138,62.307,69.476
176,175,1,19.458,22.311,26.549,33.712,40.875,48.038000000000004,55.20100000000001,62.36400000000001,69.52700000000002
177,176,1,19.522,22.387,26.635,33.791,40.948,48.104,55.25999999999999,62.41599999999998,69.57199999999997
178,177,1,19.585,22.462,26.72,33.866,41.013,48.159,55.305,62.451,69.59700000000001
179,178,1,19.649,22.537,26.804,33.941,41.078,48.215,55.35200000000001,62.48900000000002,69.62600000000002
180,179,1,19.712,22.611,26.887,34.012,41.137,48.262,55.387,62.512,69.637
181,180,1,19.774,22.685,26.969,34.081,41.192,48.304,55.416000000000004,62.528000000000006,69.64000000000001
182,181,1,19.837,22.758,27.051,34.149,41.247,48.345,55.443000000000005,62.54100000000001,69.63900000000001
183,182,1,19.899,22.831,27.13,34.213,41.295,48.378,55.461000000000006,62.54400000000001,69.62700000000001
184,183,1,19.96,22.903,27.21,34.275,41.341,48.406,55.471,62.535999999999994,69.601
185,184,1,20.022,22.975,27.288,34.337,41.386,48.435,55.48400000000001,62.533000000000015,69.58200000000002
186,185,1,20.082,23.046,27.365,34.395,41.425,48.455,55.48500000000001,62.515000000000015,69.54500000000002
187,186,1,20.143,23.116,27.441,34.452,41.462,48.473,55.484,62.495000000000005,69.506
188,187,1,20.203,23.186,27.515,34.505,41.495,48.485,55.475,62.465,69.45500000000001
189,188,1,20.262,23.255,27.59,34.559,41.529,48.498000000000005,55.467,62.43599999999999,69.405
190,189,1,20.321,23.324,27.662,34.61,41.558,48.506,55.454,62.402,69.35
191,190,1,20.38,23.391,27.734,34.66,41.585,48.510999999999996,55.43699999999999,62.362999999999985,69.28899999999999
192,191,1,20.438,23.459,27.805,34.708,41.611,48.513999999999996,55.416999999999994,62.31999999999999,69.22299999999998
193,192,1,20.495,23.525,27.875,34.754,41.632,48.510999999999996,55.38999999999999,62.26899999999999,69.148
194,193,1,20.552,23.591,27.943,34.797,41.651,48.504999999999995,55.358999999999995,62.212999999999994,69.06699999999998
195,194,1,20.608,23.656,28.011,34.84,41.67,48.49900000000001,55.32800000000001,62.15700000000001,68.98600000000002
196,195,1,20.664,23.721,28.078,34.881,41.685,48.488,55.291000000000004,62.09400000000001,68.897
197,196,1,20.72,23.785,28.143,34.922,41.7,48.479,55.257999999999996,62.03699999999999,68.81599999999999
198,197,1,20.774,23.847,28.207,34.959,41.711,48.463,55.215,61.967000000000006,68.71900000000001
199,198,1,20.829,23.91,28.271,34.997,41.723,48.449,55.175,61.900999999999996,68.627
200,199,1,20.882,23.972,28.334,35.032,41.73,48.428,55.12599999999999,61.823999999999984,68.52199999999999
201,200,1,20.936,24.032,28.395,35.066,41.736,48.407,55.078,61.74900000000001,68.42000000000002
202,201,1,20.988,24.093,28.456,35.098,41.741,48.382999999999996,55.025,61.667,68.309
203,202,1,21.04,24.152,28.515,35.13,41.744,48.359,54.974000000000004,61.589000000000006,68.20400000000001
204,203,1,21.091,24.211,28.573,35.158,41.743,48.328,54.913000000000004,61.498000000000005,68.083
205,204,1,21.142,24.269,28.63,35.187,41.743,48.3,54.857,61.414,67.971
206,205,1,21.192,24.327,28.687,35.215,41.743,48.271,54.79900000000001,61.32700000000001,67.85500000000002
207,206,1,21.242,24.383,28.742,35.24,41.737,48.235,54.733000000000004,61.23100000000001,67.72900000000001
208,207,1,21.291,24.439,28.797,35.264,41.732,48.199,54.666000000000004,61.13300000000001,67.60000000000001
209,208,1,21.34,24.494,28.85,35.287,41.724,48.160999999999994,54.59799999999999,61.03499999999999,67.47199999999998
210,209,1,21.388,24.549,28.903,35.31,41.718,48.12500000000001,54.53200000000001,60.939000000000014,67.34600000000002
211,210,1,21.435,24.603,28.954,35.331,41.708,48.085,54.462,60.839000000000006,67.21600000000001
212,211,1,21.482,24.656,29.005,35.351,41.697,48.043000000000006,54.389,60.735,67.081
213,212,1,21.528,24.708,29.054,35.369,41.685,48.0,54.315000000000005,60.63000000000001,66.94500000000001
214,213,1,21.574,24.76,29.103,35.387,41.671,47.955,54.239,60.522999999999996,66.80699999999999
215,214,1,21.619,24.811,29.15,35.402,41.653,47.905,54.157000000000004,60.409000000000006,66.661
216,215,1,21.664,24.861,29.197,35.417,41.638,47.858000000000004,54.078,60.298,66.518
217,216,1,21.708,24.911,29.243,35.432,41.621,47.81,53.99900000000001,60.18800000000002,66.37700000000001
218,217,1,21.751,24.959,29.287,35.443,41.6,47.756,53.912,60.068,66.22399999999999
219,218,1,21.794,25.008,29.331,35.455,41.58,47.70399999999999,53.827999999999996,59.952,66.076
220,219,1,21.836,25.055,29.373,35.465,41.558,47.650000000000006,53.742000000000004,59.834,65.92600000000002
221,220,1,21.877,25.102,29.415,35.476,41.536,47.597,53.658,59.719,65.78
222,221,1,21.918,25.147,29.455,35.483,41.512,47.54,53.568,59.596,65.624
223,222,1,21.958,25.193,29.496,35.492,41.488,47.483999999999995,53.48,59.476,65.472
224,223,1,21.998,25.237,29.534,35.498,41.461,47.425,53.388999999999996,59.352999999999994,65.317
225,224,1,22.037,25.281,29.572,35.503,41.434,47.364999999999995,53.296,59.227000000000004,65.158
226,225,1,22.076,25.324,29.609,35.507,41.406,47.303999999999995,53.20199999999999,59.09999999999999,64.99799999999999
227,226,1,22.114,25.366,29.646,35.512,41.378,47.244,53.11,58.976,64.842
228,227,1,22.151,25.408,29.681,35.515,41.348,47.182,53.016,58.849999999999994,64.684
229,228,1,22.188,25.449,29.716,35.516,41.317,47.117,52.916999999999994,58.71699999999999,64.517
0,0,2,13.336,14.636,16.071,17.657,19.242,20.828,22.413999999999998,23.999999999999996,25.585999999999995
1,1,2,14.542,15.976,17.499,19.114,20.728,22.343000000000004,23.958000000000006,25.573000000000008,27.18800000000001
2,2,2,15.771,17.308,18.965,20.752,22.539,24.326,26.113,27.9,29.686999999999998
3,3,2,16.353,17.934,19.657,21.533,23.409,25.285,27.161,29.037000000000003,30.913000000000004
4,4,2,16.665,18.266,20.024,21.955,23.885,25.816,27.746999999999996,29.677999999999994,31.60899999999999
5,5,2,16.838,18.448,20.226,22.193,24.159,26.126,28.093000000000004,30.060000000000006,32.02700000000001
6,6,2,16.908,18.518,20.305,22.292,24.279,26.266000000000002,28.253000000000004,30.240000000000006,32.227000000000004
7,7,2,16.903,18.507,20.295,22.292,24.29,26.287,28.284,30.281,32.278
8,8,2,16.842,18.434,20.216,22.216,24.215,26.215,28.215,30.215,32.215
9,9,2,16.744,18.322,20.095,22.091,24.088,26.084000000000003,28.080000000000005,30.076000000000008,32.07200000000001
10,10,2,16.624,18.187,19.947,21.937,23.926,25.916,27.906000000000002,29.896000000000004,31.886000000000006
11,11,2,16.491,18.037,19.784,21.764,23.744,25.724,27.704,29.684,31.664
12,12,2,16.362,17.893,19.626,21.596,23.567,25.537,27.506999999999998,29.476999999999997,31.446999999999996
13,13,2,16.234,17.749,19.469,21.43,23.39,25.351,27.311999999999998,29.272999999999996,31.233999999999995
14,14,2,16.117,17.618,19.325,21.277,23.228,25.180000000000003,27.132000000000005,29.084000000000007,31.03600000000001
15,15,2,16.008,17.497,19.192,21.135,23.078,25.021,26.964000000000002,28.907000000000004,30.850000000000005
16,16,2,15.905,17.381,19.066,21.0,22.935,24.869,26.803,28.737000000000002,30.671000000000003
17,17,2,15.814,17.278,18.954,20.881,22.808,24.735,26.662,28.589,30.516
18,18,2,15.731,17.186,18.852,20.773,22.694,24.615,26.535999999999998,28.456999999999997,30.377999999999997
19,19,2,15.655,17.1,18.758,20.673,22.589,24.503999999999998,26.418999999999997,28.333999999999996,30.248999999999995
20,20,2,15.589,17.026,18.677,20.588,22.499,24.41,26.321,28.232000000000003,30.143000000000004
21,21,2,15.532,16.961,18.606,20.513,22.419,24.326,26.233,28.14,30.047
22,22,2,15.481,16.904,18.543,20.447,22.35,24.254,26.158,28.062,29.966
23,23,2,15.44,16.858,18.493,20.394,22.295,24.196,26.097,27.998,29.899
24,24,2,15.407,16.82,18.451,20.351,22.251,24.151,26.051,27.950999999999997,29.850999999999996
25,25,2,15.661,17.078,18.707,20.593,22.48,24.366,26.252,28.137999999999998,30.023999999999997
26,26,2,15.633,17.047,18.672,20.554,22.437,24.319,26.200999999999997,28.082999999999995,29.964999999999993
27,27,2,15.606,17.017,18.639,20.518,22.396,24.275000000000002,26.154000000000003,28.033000000000005,29.912000000000006
28,28,2,15.58,16.988,18.606,20.481,22.355,24.23,26.105,27.98,29.855
29,29,2,15.554,16.96,18.576,20.447,22.318,24.189,26.06,27.930999999999997,29.801999999999996
30,30,2,15.53,16.934,18.547,20.416,22.284,24.153,26.022,27.891,29.759999999999998
31,31,2,15.505,16.907,18.519,20.385,22.252,24.118000000000002,25.984000000000005,27.85000000000001,29.71600000000001
32,32,2,15.482,16.883,18.494,20.36,22.225,24.091,25.957,27.823,29.689
33,33,2,15.46,16.861,18.472,20.338,22.204,24.07,25.936,27.802,29.668
34,34,2,15.438,16.84,18.452,20.321,22.19,24.059,25.928,27.797,29.666
35,35,2,15.418,16.822,18.437,20.31,22.183,24.055999999999997,25.928999999999995,27.801999999999992,29.67499999999999
36,36,2,15.398,16.806,18.426,20.305,22.184,24.063000000000002,25.942000000000004,27.821000000000005,29.700000000000006
37,37,2,15.381,16.793,18.419,20.306,22.193,24.080000000000002,25.967000000000002,27.854000000000003,29.741000000000003
38,38,2,15.366,16.783,18.416,20.313,22.21,24.107,26.003999999999998,27.900999999999996,29.797999999999995
39,39,2,15.351,16.774,18.416,20.326,22.235,24.145,26.055,27.965,29.875
40,40,2,15.337,16.768,18.42,20.343,22.265,24.188,26.110999999999997,28.033999999999995,29.956999999999994
41,41,2,15.325,16.764,18.427,20.364,22.301,24.238,26.175,28.112000000000002,30.049000000000003
42,42,2,15.313,16.761,18.436,20.389,22.342,24.294999999999998,26.247999999999998,28.200999999999997,30.153999999999996
