age_months,sex,L,M,S,BMI_20,BMI_23,BMI_25,BMI_30,BMI_35,BMI_40,BMI_45,BMI_50,BMI_55,BMI_60,BMI_65,BMI_70
204,1,-1.486,20.265,0.12519,19.51697412,22.47745257,24.45702099,29.42811992,34.43333779,39.47562971,44.55787752,49.68291905,54.85357135,60.07264969,65.34298366,70.66743128
210,1,-1.486,20.518,0.12448,19.7647358,22.74362708,24.73194013,29.71156883,34.70465668,39.71219309,44.73512891,49.7743828,54.83084687,59.90539142,64.99886891,70.11211744
216,1,-1.487,20.759,0.12395,20,23,25,30,35,40,45,50,55,60,65,70
24,2,-0.816,16.206,0.08447,15.79624015,17.2511851,18.08775204,19.80831676,21.12553163,22.15428207,22.9728607,23.63525508,24.17935615,24.6322701,25.01375463,25.3384679
30,2,-0.928,15.983,0.08417,15.58084419,17.0137048,17.8440151,19.56761489,20.90251543,21.95487506,22.79862218,23.48564447,24.05289065,24.52711136,24.92800112,25.27029487
36,2,-1.029,15.793,0.08424,15.39580333,16.81575351,17.64488443,19.38196516,20.74305706,21.82635464,22.70174487,23.41917293,24.01474132,24.51491698,24.93939171,25.30303058
42,2,-1.121,15.628,0.08476,15.23304462,16.64986257,17.48368935,19.24746857,20.64653258,21.77146334,22.68823322,23.44491299,24.07682014,24.6102033,25.06481999,25.45573361
48,2,-1.207,15.481,0.08580,15.08551975,16.50954909,17.35481499,19.16181827,20.61488257,21.79677238,22.76934677,23.5786853,24.25928265,24.83718756,25.3322759,25.75987976
54,2,-1.286,15.356,0.08755,14.95634821,16.4015007,17.26763153,19.14181429,20.67291949,21.9352704,22.98613098,23.86929326,24.6182874,25.25892944,25.81124974,26.29092505
60,2,-1.356,15.255,0.09019,14.84674871,16.33020183,17.22923683,19.20237679,20.84478857,22.22120244,23.3833545,24.37210407,25.21962545,25.95130238,26.587253,27.14351836
66,2,-1.414,15.183,0.09383,14.76114781,16.30255967,17.24867662,19.35964509,21.15605822,22.69148087,24.0106643,25.15038132,26.140624,27.00580042,27.76579329,28.43684556
72,2,-1.461,15.148,0.09820,14.70849825,16.3241365,17.32968212,19.61490129,21.60915601,23.35338474,24.88355971,26.23065734,27.42104348,28.47701858,29.41739053,30.25801233
78,2,-1.498,15.162,0.10286,14.70224651,16.4027212,17.4761437,19.96294724,22.19224828,24.19215176,25.98861329,27.60513077,29.06268666,30.37984356,31.5729232,32.65622221
84,2,-1.526,15.236,0.10735,14.75483684,16.54475073,17.68978382,20.39220761,22.88010782,25.17063503,27.28011231,29.22393883,31.01650171,32.67112745,34.20007341,35.61455128
90,2,-1.546,15.366,0.11154,14.86273213,16.74464792,17.96322253,20.88942098,23.65249759,26.26208668,28.72699832,31.05551658,33.25552265,35.33454114,37.29975375,39.15800047
96,2,-1.559,15.534,0.11560,15.00761888,16.98550436,18.2807673,21.44271273,24.50270343,27.4672748,30.34140641,33.12912732,35.83385749,38.45861085,41.00612101,43.47892122
102,2,-1.563,15.723,0.11969,15.17224153,17.25103199,18.62672349,22.03745859,25.41675577,28.77351949,32.11456823,35.44535225,38.7703783,42.0934773,45.41798183,48.74684843
108,2,-1.560,15.923,0.12384,15.3467566,17.5309404,18.99070477,22.66368654,26.38633918,30.17657542,34.0510716,38.02616884,42.1185029,46.34550802,50.72587175,55.27998873
114,2,-1.549,16.142,0.12786,15.53964643,17.83117148,19.37577813,23.31231114,27.38189517,31.61706721,36.05234691,40.72597809,45.68169599,50.97077521,56.65460503,62.80810075
120,2,-1.531,16.387,0.13150,15.75872761,18.15566676,19.78196572,23.96742711,28.3599019,33.00788082,37.96675672,43.30225047,49.09468196,55.44477146,62.48195857,70.37684396
126,2,-1.507,16.665,0.13457,16.01158627,18.50907902,20.21071459,24.61638079,29.28108038,34.26415333,39.6358597,45.48228022,51.91192821,59.06528093,67.12918944,76.35962696
132,2,-1.481,16.974,0.13702,16.29661161,18.88843565,20.65829842,25.25383716,30.13798719,35.3738744,41.03720623,47.22157335,54.04576602,61.66445156,70.284451,80.1906145
138,2,-1.456,17.309,0.13884,16.60917803,19.28791342,21.11846987,25.87413948,30.92851906,36.3422827,42.18811271,48.55536104,55.55644234,63.33602916,72.08479396,82.06072766
