age_months,sex,P50,P75,P85,P90,P95,pct120ofP95,pct130ofP95,pct140ofP95,pct150ofP95,pct160ofP95,pct170ofP95,pct180ofP95,pct190ofP95,pct200ofP95
200.5,2,20.7636,23.2406,25.0326,26.5315,29.3975,35.277059,38.216750000000005,41.1565,44.09625,47.036,49.97575,52.9155,55.85525,58.795
201.5,2,20.7999,23.2805,25.0764,26.5796,29.4569,35.348339,38.29397,41.23966,44.18535,47.131040000000006,50.07673,53.022420000000004,55.968109999999996,58.9138
202.5,2,20.8358,23.3199,25.1197,26.6273,29.5161,35.419274,38.37093,41.32254,44.274150000000006,47.22576000000001,50.17737,53.128980000000006,56.08059,59.0322
203.5,2,20.8711,23.3587,25.1625,26.6745,29.5749,35.489887,38.44737,41.40486,44.36235,47.31984,50.27733,53.23482,56.19231,59.1498
204.5,2,20.9058,23.397,25.2048,26.7212,29.6335,35.560203,38.52355,41.4869,44.450250000000004,47.4136,50.37695,53.340300000000006,56.30365,59.267
205.5,2,20.9399,23.4347,25.2467,26.7676,29.6919,35.630247,38.599470000000004,41.56866,44.53785,47.50704,50.47623,53.44542,56.414609999999996,59.3838
206.5,2,20.9734,23.4719,25.288,26.8136,29.75,35.700044,38.675000000000004,41.65,44.625,47.6,50.574999999999996,53.550000000000004,56.525,59.5
207.5,2,21.0064,23.5086,25.3289,26.8592,29.808,35.769622,38.7504,41.731199999999994,44.712,47.692800000000005,50.6736,53.6544,56.6352,59.616
208.5,2,21.0387,23.5448,25.3694,26.9044,29.8658,35.839007,38.825540000000004,41.81212,44.7987,47.78528,50.77186,53.75844,56.74502,59.7316
209.5,2,21.0705,23.5804,25.4094,26.9492,29.9235,35.908227,38.90055,41.8929,44.88525,47.8776,50.86995,53.862300000000005,56.85465,59.847
210.5,2,21.1016,23.6156,25.449,26.9937,29.9811,35.977311,38.97543,41.97354,44.971650000000004,47.96976000000001,50.96787,53.96598,56.96409,59.9622
211.5,2,21.1322,23.6502,25.4881,27.0379,30.0386,36.046288,39.05018,42.05403999999999,45.0579,48.06176,51.065619999999996,54.06948,57.073339999999995,60.0772
212.5,2,21.1621,23.6843,25.5268,27.0817,30.096,36.115189,39.1248,42.1344,45.144,48.153600000000004,51.163199999999996,54.1728,57.182399999999994,60.192
213.5,2,21.1913,23.7179,25.5652,27.1253,30.1534,36.184043,39.19942,42.21476,45.2301,48.24544,51.260780000000004,54.276120000000006,57.29146,60.3068
214.5,2,21.22,23.751,25.6031,27.1686,30.2107,36.252883,39.27391,42.294979999999995,45.31605,48.33712,51.35819,54.37926,57.40033,60.4214
215.5,2,21.248,23.7836,25.6407,27.2116,30.2681,36.321742,39.348530000000004,42.37534,45.40215,48.428960000000004,51.45577,54.48258,57.509389999999996,60.5362
216.5,2,21.2753,23.8156,25.6779,27.2543,30.3255,36.390651,39.42315000000001,42.4557,45.48825,48.52080000000001,51.55335,54.5859,57.61845,60.651
217.5,2,21.302,23.8472,25.7147,27.2969,30.383,36.459644,39.4979,42.536199999999994,45.5745,48.6128,51.6511,54.6894,57.7277,60.766
218.5,2,21.3281,23.8783,25.7512,27.3392,30.4406,36.528757,39.57278,42.616839999999996,45.6609,48.70496,51.74902,54.79308,57.83714,60.8812
219.5,2,21.3534,23.909,25.7873,27.3813,30.4984,36.598024,39.64792,42.697759999999995,45.7476,48.79744,51.84728,54.89712,57.94696,60.9968
220.5,2,21.3781,23.9391,25.8232,27.4233,30.5562,36.667481,39.723060000000004,42.77868,45.8343,48.889920000000004,51.94554,55.00116,58.056779999999996,61.1124
221.5,2,21.4021,23.9688,25.8587,27.4651,30.6143,36.737166,39.798590000000004,42.86002,45.92145,48.98288,52.044309999999996,55.105740000000004,58.16717,61.2286
222.5,2,21.4255,23.998,25.8939,27.5067,30.6726,36.807114,39.87438,42.94164,46.0089,49.07616,52.14342,55.210679999999996,58.277939999999994,61.3452
223.5,2,21.4481,24.0268,25.9289,27.5483,30.7311,36.877366,39.950430000000004,43.02354,46.096650000000004,49.169760000000004,52.24287,55.31598,58.38909,61.4622
224.5,2,21.4701,24.055,25.9636,27.5897,30.79,36.94796,40.027,43.105999999999995,46.185,49.264,52.342999999999996,55.422,58.501,61.58
225.5,2,21.4913,24.0829,25.998,27.6311,30.8491,37.018935,40.10383,43.188739999999996,46.27365,49.358560000000004,52.44347,55.52838,58.61329,61.6982
226.5,2,21.5119,24.1103,26.0322,27.6724,30.9086,37.090333,40.18118,43.27204,46.362899999999996,49.45376,52.54462,55.63548,58.72634,61.8172
227.5,2,21.5317,24.1372,26.0662,27.7137,30.9685,37.162194,40.25905,43.3559,46.452749999999995,49.5496,52.646449999999994,55.7433,58.840149999999994,61.937
228.5,2,21.5508,24.1638,26.0999,27.755,31.0288,37.234561,40.33744,43.44032,46.5432,49.646080000000005,52.74896,55.85184,58.954719999999995,62.0576
229.5,2,21.5692,24.1899,26.1335,27.7963,31.0896,37.307476,40.41648,43.525439999999996,46.6344,49.74336,52.85232,55.96128,59.07024,62.1792
230.5,2,21.5869,24.2156,26.1669,27.8377,31.1508,37.380984,40.49604,43.61112,46.7262,49.841280000000005,52.95636,56.07144,59.186519999999994,62.3016
231.5,2,21.6038,24.2408,26.2002,27.8791,31.2126,37.455129,40.57638,43.69763999999999,46.8189,49.94016,53.06142,56.18268,59.30394,62.4252
232.5,2,21.62,24.2657,26.2333,27.9206,31.275,37.529957,40.6575,43.785,46.912499999999994,50.04,53.1675,56.295,59.42249999999999,62.55
233.5,2,21.6354,24.2902,26.2662,27.9622,31.3379,37.605512,40.739270000000005,43.87306,47.00685,50.140640000000005,53.27443,56.40822,59.54201,62.6758
234.5,2,21.6501,24.3143,26.2991,28.004,31.4015,37.681844,40.82195,43.96209999999999,47.10225,50.2424,53.382549999999995,56.5227,59.66284999999999,62.803
235.5,2,21.664,24.338,26.3319,28.0459,31.4658,37.758997,40.90554,44.05212,47.1987,50.34528,53.49186,56.63844,59.78502,62.9316
236.5,2,21.6771,24.3613,26.3646,28.088,31.5309,37.837022,40.99017,44.14326,47.29635,50.44944,53.602529999999994,56.75562,59.90870999999999,63.0618
237.5,2,21.6895,24.3843,26.3972,28.1303,31.5966,37.915968,41.07558,44.23524,47.3949,50.55456,53.71422,56.87388,60.033539999999995,63.1932
238.5,2,21.7011,24.4069,26.4298,28.1729,31.6632,37.995885,41.16216,44.32848,47.4948,50.661120000000004,53.827439999999996,56.99376,60.160079999999994,63.3264
239.5,2,21.7119,24.4291,26.4624,28.2157,31.7307,38.076824,41.24991,44.422979999999995,47.59605,50.76912,53.94219,57.11526,60.288329999999995,63.4614
240.0,2,21.717,24.4401,26.4787,28.2373,31.7647,38.117692,41.29411,44.47058,47.64705,50.82352,53.999990000000004,57.176460000000006,60.35293,63.5294
240.5,2,21.7219,24.451,26.495,28.2589,31.799,38.158836,41.3387,44.5186,47.698499999999996,50.8784,54.058299999999996,57.2382,60.418099999999995,63.598
