age_months,sex,BMI_20,BMI_23,BMI_25,BMI_30,BMI_35,BMI_40,BMI_45,BMI_50,BMI_55,BMI_60,BMI_65,BMI_70
24.0,1,16.085063109397556,17.539310792181205,18.35642892531644,19.99141069691051,21.20018349415025,22.117405614523015,22.829889945634257,23.394831762811545,23.85088374838167,24.22483264681585,24.535683159790064,24.797211046268494
30.0,1,15.848464716262557,17.27773457505248,18.08805604456042,19.726049768470414,20.952004815605385,21.891134839983085,22.626081515328462,23.212293250035994,23.68778456089435,24.079205220998684,24.40564098142534,24.681033958729092
36.0,1,15.637171069144433,17.047504192714545,17.85434507462188,19.502470203764585,20.75190601227739,21.71871983370048,22.481413981094345,23.093688920008322,23.592935078353154,24.005695563337564,24.351176536880548,24.6435287330929
42.0,1,15.453599037019385,16.853366695934383,17.661591314005793,19.33064515105479,20.613189911591547,21.61644486986651,22.414830108867065,23.0603268947654,23.589746149482867,24.02958426822302,24.39923495044303,24.71312508344945
48.0,1,15.29991627606531,16.700981305271572,17.517992293457564,19.225355107163452,20.55710510946804,21.611631627354267,22.459221344466542,23.150141019684046,23.720684712053654,24.19739981045621,24.599979896022354,24.94324169977333
54.0,1,15.171103618065331,16.58964769842832,17.426072369990695,19.197845822612987,20.603938567090903,21.733434427772217,22.65216122520759,23.4085407223329,24.038363926715814,24.568329056638976,25.018572067777583,25.404457111697827
60.0,1,15.064876900244494,16.522761093606803,17.393801479688413,19.26947036258001,20.790067566268707,22.03381810370113,23.061044868831743,23.91775173239688,24.638996336627045,25.25161565284783,25.77630207839754,26.22914628131329
66.0,1,14.976405345572227,16.499674578226568,17.42461944705257,19.457896700961392,21.151915114765817,22.570920496677687,23.767313339598267,24.78304864698806,25.65147098625108,26.399049792091663,27.04684628810442,27.611692294952757
72.0,1,14.915295411686152,16.52385694787063,17.51846964157705,19.757759671536093,21.685050913458895,23.347617372947504,24.78668585409958,26.037334378304447,27.129000097516556,28.086208310270862,28.92932905756828,29.675274281318465
78.0,1,14.896030033958125,16.599392076962317,17.67194067488338,20.147338695861954,22.353345588598955,24.31990228610253,26.074864858675923,27.64353426268775,29.048509519756745,30.30974677385291,31.444734456139045,32.468723888768395
84.0,1,14.928892540672628,16.725877859899747,17.87517194867339,20.586610223585165,23.080940033877386,25.374998941306316,27.484902041947652,29.425978664274368,31.212671190882695,32.85845818935482,34.37581595698013,35.77621565550543
90.0,1,15.014359715169643,16.90106591291847,18.122674955351744,21.0561647790913,23.826212004743095,26.442323228502314,28.913054180995363,31.246411555811292,33.45002567006334,35.53121832552932,37.49702291776926,39.35418424053719
96.0,1,15.138582924541216,17.115151671856673,18.40818510313414,21.560193271959836,24.6044155130494,27.547707303552436,30.395252625729448,33.15123165866762,35.819195120325666,38.402285058095636,40.90336972363049,43.325127902457496
102.0,1,15.285527603539695,17.357308159693094,18.725974378382627,22.111118674190784,25.45352736363975,28.7621543577914,32.04374131923779,35.30357786800018,38.54595002019342,41.77442190438591,44.992021704313956,48.20136938660209
108.0,1,15.446053987025062,17.61967937576506,19.070203693070287,22.712899623656504,26.39566281625649,30.137027372778043,33.95413810771316,37.86371635185511,41.882734540891725,46.02895628312808,50.321425522740306,54.78095732919019
114.0,1,15.61813916157404,17.895659555640055,19.430104331469337,23.34036649310419,27.38598327690335,31.604373066232235,36.035906614688294,40.72621076974503,45.72867249682769,51.10752779677025,56.94197554963147,63.33194085641675
120.0,1,15.802913150256726,18.18065682571653,19.79520567225342,23.959431465005103,28.350983891347855,33.0316470038861,38.074552621625884,43.57010299244251,49.63410962660474,56.41991249946567,64.13749819618559,73.08530633898376
126.0,1,15.998420421370735,18.46764583630798,20.15347670233991,24.537652658262093,29.221592197729827,34.28864828787205,39.84272801541618,46.019035587686105,53.000428812866375,61.044126942929275,70.52814332140164,82.03776703196952
132.0,1,16.2078949155478,18.758527744438393,20.505172172718893,25.066930703796526,29.97133975339827,35.3129793098854,41.21224125906056,47.82885604074319,55.38321581587977,64.19231039553878,74.73439674390131,87.77456514752787
138.0,1,16.43143808313097,19.053680820179704,20.851981537195307,25.55717268321925,30.62722696114755,36.160107089081336,42.28114891732071,49.15709811918721,57.01833458059476,66.19635872947845,77.1912021254572,90.8020935044415
144.0,1,16.670999741764216,19.355530057312507,21.197119358818423,26.015777055922374,31.205157646281183,36.86068485913061,43.10387566929169,50.0951658100971,58.05394718966048,67.29176690136279,78.27069513183334,91.71325488398003
150.0,1,16.927529634084877,19.66560352227118,21.543156235230345,26.451082703649096,31.725637782902332,37.45702058368001,43.75905572738408,50.780251896278216,58.72073125400904,67.85959770352618,78.60163572679724,91.56204711084602
156.0,1,17.201681683948465,19.98584220968286,21.892741409448472,26.86674270706241,32.19179831144787,37.94961154671573,44.24178507519096,51.19857519408158,58.99189662058713,67.85563775634189,78.1189514889138,90.2637640377086
162.0,1,17.491327176349873,20.31463407583025,22.244618932971296,27.262467088245426,32.60460533062609,38.3414466887689,44.55878888023027,51.36408670657959,58.89539828877688,67.33475538473235,76.92899281951121,88.02363942607707
168.0,1,17.795184608427206,20.651893841861288,22.59963697290874,27.64206657536691,32.972183161767184,38.647250954268976,44.735263939720895,51.31895258278639,58.50120719788194,66.41275531958425,75.22342864744377,85.15928258741327
174.0,1,18.10348246964236,20.987267505590463,22.94760109654513,27.99832539244706,33.29539362150658,38.88338007464663,44.81370369895959,51.1469931296376,57.95609680456101,65.33009664203688,73.37984108977157,82.24579407828222
