age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,diff_SD2_SD3
29,1,-0.4578,15.8338,0.07828,11.724,12.668,13.612,14.662,15.834,17.148,18.627,20.299,21.972,23.643,25.315,26.987000000000002,28.659000000000002,1.6720000000000006
30,1,-0.4301,15.7989,0.0784,11.681,12.628,13.575,14.626,15.799,17.111,18.584,20.245,21.906,23.567000000000004,25.228000000000005,26.889000000000006,28.550000000000008,1.6610000000000014
31,1,-0.4037,15.7635,0.07853,11.637,12.587,13.537,14.591,15.764,17.073,18.54,20.191,21.842,23.493,25.144,26.794999999999998,28.445999999999998,1.6509999999999998
32,1,-0.3804,15.73,0.07866,11.595,12.548,13.501,14.557,15.73,17.038,18.5,20.142,21.784,23.426,25.067999999999998,26.709999999999997,28.351999999999997,1.6419999999999995
33,1,-0.3594,15.6971,0.0788,11.555,12.511,13.466,14.524,15.697,17.003,18.462,20.096,21.73,23.364,24.998,26.632,28.266000000000002,1.6340000000000003
34,1,-0.3404,15.664,0.07896,11.515,12.473,13.431,14.49,15.664,16.969,18.425,20.052,21.68,23.305999999999997,24.932999999999996,26.559999999999995,28.186999999999994,1.626999999999999
35,1,-0.3247,15.6328,0.07912,11.478,12.437,13.397,14.458,15.633,16.937,18.39,20.013,21.636,23.259000000000004,24.882000000000005,26.505000000000006,28.128000000000007,1.623000000000001
36,1,-0.3112,15.6015,0.07929,11.441,12.402,13.364,14.426,15.602,16.906,18.357,19.975,21.594,23.211000000000006,24.829000000000008,26.44700000000001,28.065000000000012,1.618000000000002
37,1,-0.3009,15.5723,0.07948,11.406,12.369,13.333,14.396,15.572,16.877,18.327,19.944,21.561,23.177999999999994,24.79499999999999,26.41199999999999,28.028999999999986,1.6169999999999973
38,1,-0.2934,15.5443,0.07967,11.374,12.338,13.303,14.367,15.544,16.849,18.3,19.915,21.531,23.144999999999996,24.759999999999994,26.374999999999993,27.98999999999999,1.6149999999999984
39,1,-0.2887,15.5167,0.07988,11.342,12.307,13.273,14.338,15.517,16.823,18.274,19.891,21.507,23.124999999999993,24.74199999999999,26.358999999999988,27.975999999999985,1.6169999999999973
40,1,-0.2869,15.4914,0.0801,11.313,12.279,13.245,14.312,15.491,16.799,18.252,19.871,21.49,23.108999999999998,24.727999999999998,26.346999999999998,27.965999999999998,1.6189999999999998
41,1,-0.2878,15.4675,0.08033,11.286,12.253,13.219,14.287,15.468,16.777,18.233,19.856,21.479,23.102000000000004,24.725000000000005,26.348000000000006,27.971000000000007,1.623000000000001
42,1,-0.2914,15.4445,0.08058,11.26,12.227,13.194,14.262,15.444,16.757,18.216,19.845,21.473,23.102999999999994,24.731999999999992,26.36099999999999,27.989999999999988,1.6289999999999978
43,1,-0.2972,15.4236,0.08084,11.236,12.203,13.171,14.239,15.424,16.739,18.203,19.838,21.473,23.108000000000004,24.743000000000006,26.378000000000007,28.01300000000001,1.6350000000000016
44,1,-0.3054,15.404,0.08111,11.215,12.181,13.148,14.218,15.404,16.723,18.192,19.835,21.479,23.121000000000002,24.764000000000003,26.407000000000004,28.050000000000004,1.6430000000000007
45,1,-0.316,15.3849,0.0814,11.193,12.16,13.127,14.197,15.385,16.707,18.184,19.836,21.489,23.139999999999993,24.79199999999999,26.44399999999999,28.095999999999986,1.6519999999999975
46,1,-0.3284,15.3675,0.0817,11.174,12.14,13.106,14.177,15.368,16.694,18.178,19.842,21.505,23.169999999999995,24.833999999999993,26.49799999999999,28.16199999999999,1.663999999999998
47,1,-0.3429,15.351,0.08201,11.156,12.121,13.087,14.158,15.351,16.683,18.174,19.85,21.526,23.202000000000005,24.878000000000007,26.55400000000001,28.23000000000001,1.676000000000002
48,1,-0.3598,15.3346,0.08234,11.139,12.103,13.067,14.139,15.335,16.671,18.172,19.862,21.552,23.241999999999994,24.93199999999999,26.62199999999999,28.311999999999987,1.6899999999999977
49,1,-0.3782,15.3196,0.08267,11.123,12.086,13.05,14.122,15.32,16.662,18.172,19.877,21.582,23.286999999999995,24.991999999999994,26.696999999999992,28.40199999999999,1.7049999999999983
50,1,-0.3984,15.3052,0.08302,11.108,12.07,13.032,14.105,15.305,16.653,18.174,19.895,21.617,23.337,25.058,26.779,28.5,1.721
51,1,-0.4212,15.291,0.08338,11.094,12.055,13.015,14.088,15.291,16.646,18.177,19.917,21.657,23.397000000000006,25.137000000000008,26.87700000000001,28.61700000000001,1.740000000000002
52,1,-0.4449,15.2779,0.08375,11.081,12.04,12.999,14.072,15.278,16.639,18.183,19.942,21.702,23.46,25.219,26.978,28.737000000000002,1.7590000000000003
53,1,-0.4702,15.2654,0.08412,11.07,12.027,12.983,14.057,15.265,16.633,18.19,19.97,21.75,23.529999999999994,25.30999999999999,27.08999999999999,28.869999999999987,1.7799999999999976
54,1,-0.4977,15.2532,0.08451,11.059,12.013,12.968,14.041,15.253,16.629,18.199,20.001,21.804,23.605,25.407,27.209,29.011,1.8019999999999996
55,1,-0.5255,15.2419,0.0849,11.049,12.001,12.954,14.027,15.242,16.625,18.209,20.035,21.861,23.687,25.513,27.339000000000002,29.165000000000003,1.8260000000000005
56,1,-0.5544,15.2311,0.08529,11.039,11.99,12.94,14.013,15.231,16.622,18.22,20.071,21.922,23.773000000000007,25.62400000000001,27.475000000000012,29.326000000000015,1.8510000000000026
57,1,-0.5855,15.2204,0.0857,11.031,11.979,12.927,13.999,15.22,16.619,18.233,20.111,21.989,23.867,25.745,27.623,29.501,1.8780000000000001
58,1,-0.6166,15.2108,0.0861,11.024,11.969,12.914,13.987,15.211,16.618,18.248,20.153,22.058,23.962999999999994,25.86799999999999,27.77299999999999,29.677999999999987,1.9049999999999976
59,1,-0.6499,15.2014,0.08652,11.017,11.96,12.902,13.974,15.201,16.617,18.264,20.2,22.135,24.072,26.008,27.944,29.88,1.936
60,1,-0.6833,15.193,0.08693,11.011,11.951,12.891,13.963,15.193,16.617,18.282,20.248,22.214,24.180000000000003,26.146000000000004,28.112000000000005,30.078000000000007,1.966000000000001
61,1,-0.7387,15.2641,0.0839,11.204,12.118,13.031,14.071,15.264,16.645,18.259,20.166,22.072,23.98,25.887,27.794,29.701,1.907
62,1,-0.7621,15.2616,0.08414,11.204,12.115,13.027,14.066,15.262,16.648,18.273,20.2,22.127,24.054,25.980999999999998,27.907999999999998,29.834999999999997,1.9269999999999996
63,1,-0.7856,15.2604,0.08439,11.204,12.114,13.024,14.063,15.26,16.653,18.29,20.238,22.186,24.134,26.082,28.03,29.978,1.9480000000000004
64,1,-0.8089,15.2605,0.08464,11.205,12.114,13.022,14.061,15.26,16.659,18.308,20.277,22.247,24.215000000000003,26.184000000000005,28.153000000000006,30.122000000000007,1.9690000000000012
65,1,-0.8322,15.2619,0.0849,11.207,12.114,13.021,14.06,15.262,16.667,18.328,20.32,22.312,24.304000000000002,26.296000000000003,28.288000000000004,30.280000000000005,1.9920000000000009
66,1,-0.8554,15.2645,0.08516,11.21,12.115,13.021,14.06,15.264,16.676,18.35,20.365,22.38,24.394999999999992,26.40999999999999,28.424999999999986,30.439999999999984,2.014999999999997
67,1,-0.8785,15.2684,0.08543,11.213,12.117,13.021,14.061,15.268,16.686,18.374,20.413,22.452,24.491000000000003,26.530000000000005,28.569000000000006,30.608000000000008,2.0390000000000015
68,1,-0.9015,15.2737,0.0857,11.218,12.121,13.023,14.063,15.274,16.699,18.399,20.463,22.526,24.591,26.655,28.719,30.783,2.064
69,1,-0.9243,15.2801,0.08597,11.223,12.125,13.026,14.067,15.28,16.712,18.427,20.515,22.604,24.691000000000003,26.779000000000003,28.867000000000004,30.955000000000005,2.088000000000001
70,1,-0.9471,15.2877,0.08625,11.228,12.129,13.03,14.071,15.288,16.727,18.456,20.571,22.685,24.801000000000005,26.916000000000007,29.03100000000001,31.14600000000001,2.115000000000002
71,1,-0.9697,15.2965,0.08653,11.235,12.135,13.035,14.077,15.296,16.743,18.487,20.628,22.77,24.910000000000004,27.051000000000005,29.192000000000007,31.33300000000001,2.141000000000002
72,1,-0.9921,15.3062,0.08682,11.242,12.141,13.04,14.083,15.306,16.761,18.52,20.689,22.858,25.027,27.196,29.365000000000002,31.534000000000002,2.1690000000000005
73,1,-1.0144,15.3169,0.08711,11.249,12.148,13.047,14.09,15.317,16.78,18.554,20.751,22.948,25.145000000000007,27.34200000000001,29.539000000000012,31.736000000000015,2.1970000000000027
74,1,-1.0365,15.3285,0.08741,11.257,12.155,13.053,14.098,15.328,16.799,18.589,20.816,23.043,25.27,27.497,29.724,31.951,2.2270000000000003
75,1,-1.0584,15.3408,0.08771,11.265,12.163,13.061,14.107,15.341,16.82,18.626,20.883,23.139,25.396999999999995,27.653999999999993,29.91099999999999,32.16799999999999,2.256999999999998
76,1,-1.0801,15.354,0.08802,11.274,12.171,13.069,14.116,15.354,16.842,18.665,20.952,23.24,25.526000000000007,27.81300000000001,30.100000000000012,32.387000000000015,2.2870000000000026
77,1,-1.1017,15.3679,0.08833,11.283,12.18,13.077,14.126,15.368,16.864,18.704,21.023,23.343,25.660999999999998,27.979999999999997,30.298999999999996,32.617999999999995,2.318999999999999
78,1,-1.123,15.3825,0.08865,11.292,12.189,13.086,14.136,15.382,16.888,18.745,21.097,23.449,25.801000000000002,28.153000000000002,30.505000000000003,32.857,2.3520000000000003
79,1,-1.1441,15.3978,0.08898,11.301,12.198,13.095,14.147,15.398,16.913,18.788,21.174,23.559,25.945999999999998,28.331999999999997,30.717999999999996,33.104,2.3859999999999992
80,1,-1.1649,15.4137,0.08931,11.311,12.208,13.105,14.158,15.414,16.938,18.831,21.251,23.672,26.091000000000005,28.511000000000006,30.931000000000008,33.35100000000001,2.4200000000000017
81,1,-1.1856,15.4302,0.08964,11.321,12.218,13.115,14.17,15.43,16.964,18.876,21.331,23.786,26.240999999999996,28.695999999999994,31.150999999999993,33.605999999999995,2.4549999999999983
82,1,-1.206,15.4473,0.08998,11.331,12.228,13.126,14.183,15.447,16.991,18.922,21.413,23.905,26.395,28.886,31.377,33.867999999999995,2.4909999999999997
83,1,-1.2261,15.465,0.09033,11.341,12.239,13.136,14.195,15.465,17.019,18.969,21.498,24.027,26.556,29.085,31.614,34.143,2.529
84,1,-1.246,15.4832,0.09068,11.351,12.25,13.148,14.209,15.483,17.047,19.017,21.584,24.152,26.718,29.285,31.852,34.419,2.567
85,1,-1.2656,15.5019,0.09103,11.362,12.261,13.159,14.222,15.502,17.076,19.066,21.672,24.279,26.884000000000004,29.490000000000006,32.096000000000004,34.70200000000001,2.6060000000000016
86,1,-1.2849,15.521,0.09139,11.373,12.272,13.171,14.236,15.521,17.106,19.116,21.763,24.409,27.057000000000006,29.704000000000008,32.35100000000001,34.99800000000001,2.647000000000002
87,1,-1.304,15.5407,0.09176,11.384,12.283,13.183,14.25,15.541,17.136,19.168,21.856,24.544,27.232000000000006,29.92000000000001,32.60800000000001,35.296000000000014,2.6880000000000024
88,1,-1.3228,15.5608,0.09213,11.395,12.295,13.195,14.265,15.561,17.167,19.22,21.95,24.681,27.41,30.14,32.870000000000005,35.6,2.7300000000000004
89,1,-1.3414,15.5814,0.09251,11.406,12.307,13.208,14.28,15.581,17.199,19.274,22.048,24.822,27.595999999999993,30.36999999999999,33.14399999999999,35.917999999999985,2.7739999999999974
90,1,-1.3596,15.6023,0.09289,11.417,12.319,13.221,14.295,15.602,17.231,19.328,22.147,24.966,27.784999999999997,30.603999999999996,33.422999999999995,36.24199999999999,2.818999999999999
91,1,-1.3776,15.6237,0.09327,11.428,12.331,13.234,14.311,15.624,17.264,19.383,22.247,25.112,27.975,30.839000000000002,33.703,36.56700000000001,2.8640000000000008
92,1,-1.3953,15.6455,0.09366,11.44,12.343,13.247,14.327,15.646,17.297,19.44,22.351,25.262,28.172999999999995,31.083999999999993,33.99499999999999,36.90599999999999,2.910999999999998
93,1,-1.4126,15.6677,0.09406,11.451,12.356,13.26,14.343,15.668,17.331,19.497,22.457,25.416,28.377000000000002,31.337000000000003,34.297000000000004,37.257000000000005,2.960000000000001
94,1,-1.4297,15.6903,0.09445,11.463,12.368,13.274,14.36,15.69,17.366,19.555,22.563,25.571,28.578999999999997,31.586999999999996,34.595,37.602999999999994,3.007999999999999
95,1,-1.4464,15.7133,0.09486,11.474,12.381,13.288,14.377,15.713,17.401,19.615,22.673,25.732,28.788999999999998,31.846999999999998,34.905,37.962999999999994,3.058
96,1,-1.4629,15.7368,0.09526,11.486,12.394,13.302,14.394,15.737,17.437,19.675,22.785,25.895,29.005,32.114999999999995,35.224999999999994,38.334999999999994,3.1099999999999994
97,1,-1.479,15.7606,0.09567,11.498,12.407,13.317,14.412,15.761,17.473,19.736,22.899,26.061,29.225,32.388000000000005,35.551,38.714,3.1630000000000003
98,1,-1.4947,15.7848,0.09609,11.51,12.42,13.331,14.429,15.785,17.51,19.798,23.015,26.232,29.449000000000005,32.66600000000001,35.88300000000001,39.10000000000001,3.2170000000000023
99,1,-1.5101,15.8094,0.09651,11.521,12.434,13.346,14.447,15.809,17.548,19.862,23.134,26.406,29.678000000000004,32.95,36.22200000000001,39.494000000000014,3.272000000000002
100,1,-1.5252,15.8344,0.09693,11.534,12.447,13.361,14.466,15.834,17.586,19.926,23.254,26.582,29.910000000000007,33.238000000000014,36.56600000000002,39.89400000000002,3.328000000000003
101,1,-1.5399,15.8597,0.09735,11.546,12.461,13.376,14.484,15.86,17.624,19.99,23.376,26.761,30.148000000000007,33.534000000000006,36.920000000000016,40.30600000000001,3.386000000000003
102,1,-1.5542,15.8855,0.09778,11.558,12.475,13.392,14.503,15.886,17.663,20.056,23.5,26.945,30.387999999999998,33.831999999999994,37.275999999999996,40.72,3.443999999999999
103,1,-1.5681,15.9116,0.09821,11.57,12.489,13.408,14.523,15.912,17.702,20.123,23.627,27.131,30.634999999999994,34.138999999999996,37.64299999999999,41.14699999999999,3.503999999999998
104,1,-1.5817,15.9381,0.09864,11.583,12.503,13.424,14.542,15.938,17.742,20.19,23.755,27.32,30.884999999999994,34.44999999999999,38.014999999999986,41.579999999999984,3.5649999999999977
105,1,-1.5948,15.9651,0.09907,11.595,12.518,13.44,14.562,15.965,17.783,20.258,23.885,27.511,31.139000000000006,34.766000000000005,38.393000000000015,42.02000000000001,3.6270000000000024
106,1,-1.6076,15.9925,0.09951,11.608,12.532,13.456,14.582,15.992,17.824,20.327,24.018,27.708,31.4,35.090999999999994,38.782,42.473,3.690999999999999
107,1,-1.6199,16.0205,0.09994,11.621,12.547,13.473,14.603,16.02,17.866,20.397,24.151,27.905,31.659000000000002,35.413000000000004,39.167,42.92100000000001,3.7540000000000013
108,1,-1.6318,16.049,0.10038,11.634,12.562,13.491,14.624,16.049,17.908,20.468,24.288,28.107,31.928,35.748000000000005,39.568,43.388000000000005,3.8200000000000003
109,1,-1.6433,16.0781,0.10082,11.647,12.578,13.508,14.646,16.078,17.952,20.54,24.426,28.312,32.19799999999999,36.083999999999996,39.97,43.855999999999995,3.8859999999999992
110,1,-1.6544,16.1078,0.10126,11.661,12.594,13.526,14.668,16.108,17.996,20.613,24.567,28.52,32.475,36.429,40.383,44.337,3.9540000000000006
111,1,-1.6651,16.1381,0.1017,11.675,12.61,13.545,14.691,16.138,18.04,20.687,24.709,28.731,32.753,36.77499999999999,40.797,44.81899999999999,4.0219999999999985
112,1,-1.6753,16.1692,0.10214,11.689,12.626,13.564,14.714,16.169,18.086,20.763,24.854,28.945,33.035999999999994,37.126999999999995,41.21799999999999,45.30899999999998,4.0909999999999975
113,1,-1.6851,16.2009,0.10259,11.703,12.643,13.583,14.738,16.201,18.132,20.839,25.001,29.163,33.325,37.48700000000001,41.649000000000015,45.811000000000014,4.162000000000003
114,1,-1.6944,16.2333,0.10303,11.718,12.661,13.603,14.763,16.233,18.179,20.916,25.149,29.382,33.615,37.848,42.081,46.31400000000001,4.2330000000000005
115,1,-1.7032,16.2665,0.10347,11.733,12.679,13.624,14.788,16.266,18.227,20.994,25.299,29.604,33.909,38.214,42.519,46.824,4.305
116,1,-1.7116,16.3004,0.10391,11.749,12.697,13.645,14.814,16.3,18.276,21.074,25.451,29.828,34.205,38.581999999999994,42.958999999999996,47.336,4.376999999999999
117,1,-1.7196,16.3351,0.10435,11.765,12.716,13.667,14.84,16.335,18.326,21.154,25.605,30.055,34.507000000000005,38.958,43.409000000000006,47.86,4.4510000000000005
118,1,-1.7271,16.3704,0.10478,11.781,12.735,13.689,14.867,16.37,18.376,21.234,25.758,30.282,34.806,39.32999999999999,43.853999999999985,48.377999999999986,4.523999999999997
119,1,-1.7341,16.4065,0.10522,11.798,12.755,13.712,14.895,16.406,18.428,21.317,25.915,30.513,35.111,39.708999999999996,44.306999999999995,48.904999999999994,4.597999999999999
120,1,-1.7407,16.4433,0.10566,11.815,12.775,13.735,14.923,16.443,18.48,21.4,26.073,30.746,35.419000000000004,40.092000000000006,44.76500000000001,49.43800000000001,4.673000000000002
121,1,-1.7468,16.4807,0.10609,11.832,12.796,13.759,14.952,16.481,18.532,21.483,26.231,30.979,35.727000000000004,40.47500000000001,45.223000000000006,49.971000000000004,4.748000000000001
122,1,-1.7525,16.5189,0.10652,11.85,12.817,13.784,14.982,16.519,18.586,21.568,26.391,31.213,36.03699999999999,40.859999999999985,45.682999999999986,50.505999999999986,4.822999999999997
123,1,-1.7578,16.5578,0.10695,11.868,12.838,13.808,15.012,16.558,18.64,21.653,26.552,31.45,36.35,41.249,46.148,51.047000000000004,4.899000000000001
124,1,-1.7626,16.5974,0.10738,11.886,12.86,13.834,15.043,16.597,18.696,21.739,26.714,31.688,36.663999999999994,41.638999999999996,46.61399999999999,51.588999999999984,4.974999999999998
125,1,-1.767,16.6376,0.1078,11.905,12.882,13.86,15.074,16.638,18.751,21.826,26.875,31.925,36.973,42.022,47.071,52.12,5.0489999999999995
126,1,-1.771,16.6786,0.10823,11.924,12.905,13.886,15.106,16.679,18.808,21.914,27.04,32.166,37.291999999999994,42.41799999999999,47.54399999999999,52.66999999999999,5.125999999999998
127,1,-1.7745,16.7203,0.10865,11.943,12.928,13.913,15.139,16.72,18.865,22.002,27.204,32.405,37.608000000000004,42.81,48.01200000000001,53.21400000000001,5.202000000000002
128,1,-1.7777,16.7628,0.10906,11.964,12.952,13.941,15.172,16.763,18.923,22.09,27.367,32.643,37.92100000000001,43.19800000000001,48.47500000000001,53.75200000000001,5.277000000000001
129,1,-1.7804,16.8059,0.10948,11.984,12.976,13.969,15.206,16.806,18.982,22.18,27.533,32.885,38.239000000000004,43.592000000000006,48.94500000000001,54.29800000000001,5.3530000000000015
130,1,-1.7828,16.8497,0.10989,12.004,13.001,13.998,15.241,16.85,19.042,22.271,27.698,33.125,38.552,43.979,49.406,54.833,5.427
131,1,-1.7847,16.8941,0.1103,12.025,13.026,14.027,15.276,16.894,19.102,22.362,27.863,33.365,38.865,44.366,49.867000000000004,55.36800000000001,5.501000000000001
132,1,-1.7862,16.9392,0.1107,12.046,13.051,14.056,15.312,16.939,19.163,22.452,28.027,33.602,39.177,44.751999999999995,50.327,55.902,5.574999999999999
133,1,-1.7873,16.985,0.1111,12.068,13.077,14.087,15.348,16.985,19.224,22.544,28.192,33.839,39.488,45.135999999999996,50.784,56.432,5.648
134,1,-1.7881,17.0314,0.1115,12.09,13.103,14.117,15.385,17.031,19.287,22.637,28.357,34.077,39.797,45.516999999999996,51.236999999999995,56.956999999999994,5.719999999999999
135,1,-1.7884,17.0784,0.11189,12.112,13.13,14.148,15.422,17.078,19.349,22.729,28.52,34.311,40.102000000000004,45.893,51.684,57.475,5.791
136,1,-1.7884,17.1262,0.11228,12.134,13.157,14.18,15.461,17.126,19.413,22.822,28.684,34.545,40.408,46.27000000000001,52.132000000000005,57.994000000000014,5.862000000000002
137,1,-1.788,17.1746,0.11266,12.157,13.185,14.212,15.499,17.175,19.477,22.915,28.846,34.776,40.708,46.639,52.57000000000001,58.501000000000005,5.931000000000001
138,1,-1.7873,17.2236,0.11304,12.181,13.213,14.245,15.539,17.224,19.542,23.009,29.008,35.006,41.006,47.004999999999995,53.00399999999999,59.00299999999999,5.998999999999999
139,1,-1.7861,17.2734,0.11342,12.204,13.241,14.278,15.578,17.273,19.607,23.104,29.169,35.235,41.29900000000001,47.364000000000004,53.429,59.49400000000001,6.065000000000001
140,1,-1.7846,17.324,0.11379,12.228,13.27,14.312,15.619,17.324,19.674,23.199,29.329,35.46,41.589,47.718999999999994,53.849,59.979,6.129999999999999
141,1,-1.7828,17.3752,0.11415,12.253,13.3,14.347,15.66,17.375,19.741,23.293,29.487,35.681,41.875,48.068999999999996,54.26299999999999,60.456999999999994,6.193999999999999
142,1,-1.7806,17.4272,0.11451,12.278,13.33,14.382,15.702,17.427,19.808,23.389,29.645,35.901,42.157,48.413,54.669,60.925,6.256
143,1,-1.778,17.4799,0.11487,12.303,13.36,14.417,15.745,17.48,19.877,23.485,29.802,36.119,42.436,48.753,55.07,61.387,6.317
144,1,-1.7751,17.5334,0.11522,12.328,13.391,14.453,15.788,17.533,19.946,23.581,29.957,36.333,42.709,49.08500000000001,55.461000000000006,61.837,6.376000000000001
145,1,-1.7719,17.5877,0.11556,12.355,13.422,14.49,15.833,17.588,20.015,23.677,30.11,36.542,42.976,49.409,55.842,62.275,6.433
146,1,-1.7684,17.6427,0.1159,12.381,13.454,14.528,15.877,17.643,20.086,23.774,30.262,36.75,43.238,49.726,56.214,62.702,6.4879999999999995
147,1,-1.7645,17.6985,0.11623,12.408,13.487,14.566,15.923,17.698,20.157,23.871,30.412,36.952,43.494,50.035,56.576,63.117,6.541
148,1,-1.7604,17.7551,0.11656,12.436,13.52,14.605,15.969,17.755,20.229,23.969,30.561,37.154,43.745,50.336999999999996,56.928999999999995,63.520999999999994,6.591999999999999
149,1,-1.7559,17.8124,0.11688,12.464,13.554,14.644,16.016,17.812,20.302,24.067,30.708,37.349,43.989999999999995,50.63099999999999,57.27199999999999,63.91299999999999,6.640999999999998
150,1,-1.7511,17.8704,0.1172,12.492,13.588,14.684,16.063,17.87,20.375,24.165,30.854,37.543,44.232,50.921,57.61,64.299,6.689
