age_months,sex,14.5,18.5,20,25,30,35,40,45,50,55,60,65,70,78,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,difference_SD1_SD2
94,1,11.69038693,13.94845148,14.7688159,17.41097253,19.92291986,22.35303781,24.871253,27.39779963,29.92434626,32.45089289,34.97743952,37.50398615,40.03053278,44.07300739,-1.4297,15.6903,0.09445,11.463,12.368,13.274,14.36,15.69,17.366,19.555,22.563,24.752,26.941,29.13,31.319,33.508,35.697,37.886,40.075,42.264,44.453,46.642,48.831,51.02,53.209,55.398,57.587,59.776,61.965,64.154,66.343,68.532,70.721,72.91,75.099,77.288,79.477,81.666,83.855,86.044,88.233,90.422,92.611,94.8,96.989,99.178,101.367,103.556,2.189
95,1,11.70188945,13.96431461,14.78766018,17.44648615,19.98903555,22.45954775,25.00761496,27.56301662,30.11841828,32.67381994,35.22922161,37.78462327,40.34002493,44.42866759,-1.4464,15.7133,0.09486,11.474,12.381,13.288,14.377,15.713,17.401,19.615,22.673,24.887,27.101,29.315,31.529,33.743,35.957,38.171,40.385,42.599,44.813,47.027,49.241,51.455,53.669,55.883,58.097,60.311,62.525,64.739,66.953,69.167,71.381,73.595,75.809,78.023,80.237,82.451,84.665,86.879,89.093,91.307,93.521,95.735,97.949,100.163,102.377,104.591,2.214
96,1,11.7141407,13.98017773,14.80681184,17.48297922,20.05539586,22.56791808,25.14492244,27.72802493,30.31112742,32.89422992,35.47733241,38.0604349,40.6435374,44.77650139,-1.4629,15.7368,0.09526,11.486,12.394,13.302,14.394,15.737,17.437,19.675,22.785,25.023,27.261,29.499,31.737,33.975,36.213,38.451,40.689,42.927,45.165,47.403,49.641,51.879,54.117,56.355,58.593,60.831,63.069,65.307,67.545,69.783,72.021,74.259,76.497,78.735,80.973,83.211,85.449,87.687,89.925,92.163,94.401,96.639,98.877,101.115,103.353,105.591,2.238
97,1,11.72639196,13.99704086,14.82665612,17.51949284,20.12287849,22.67821861,25.2852844,27.89724192,30.50919945,33.12115697,35.7331145,38.34507202,40.95702955,45.13616159,-1.479,15.7606,0.09567,11.498,12.407,13.317,14.412,15.761,17.473,19.736,22.899,25.162,27.425,29.688,31.951,34.214,36.477,38.74,41.003,43.266,45.529,47.792,50.055,52.318,54.581,56.844,59.107,61.37,63.633,65.896,68.159,70.422,72.685,74.948,77.211,79.474,81.737,84,86.263,88.526,90.789,93.052,95.315,97.578,99.841,102.104,104.367,106.63,2.263
98,1,11.73864322,14.01290398,14.84580779,17.55700646,20.19148344,22.79044935,25.42764635,28.06845891,30.70927147,33.35008403,35.99089658,38.63170914,41.2725217,45.49782179,-1.4947,15.7848,0.09609,11.51,12.42,13.331,14.429,15.785,17.51,19.798,23.015,25.303,27.591,29.879,32.167,34.455,36.743,39.031,41.319,43.607,45.895,48.183,50.471,52.759,55.047,57.335,59.623,61.911,64.199,66.487,68.775,71.063,73.351,75.639,77.927,80.215,82.503,84.791,87.079,89.367,91.655,93.943,96.231,98.519,100.807,103.095,105.383,107.671,2.288
99,1,11.75039698,14.02976711,14.86565207,17.59554063,20.2622107,22.90561028,25.57406279,28.24488458,30.91570637,33.58652816,36.25734995,38.92817175,41.59899354,45.8723084,-1.5101,15.8094,0.09651,11.521,12.434,13.346,14.447,15.809,17.548,19.862,23.134,25.448,27.762,30.076,32.39,34.704,37.018,39.332,41.646,43.96,46.274,48.588,50.902,53.216,55.53,57.844,60.158,62.472,64.786,67.1,69.414,71.728,74.042,76.356,78.67,80.984,83.298,85.612,87.926,90.24,92.554,94.868,97.182,99.496,101.81,104.124,106.438,108.752,2.314
100,1,11.76339698,14.04725128,14.88649635,17.63407479,20.33306027,23.02170141,25.72147922,28.42231025,31.12314127,33.8239723,36.52480332,39.22563435,41.92646537,46.24779501,-1.5252,15.8344,0.09693,11.534,12.447,13.361,14.466,15.834,17.586,19.926,23.254,25.594,27.934,30.274,32.614,34.954,37.294,39.634,41.974,44.314,46.654,48.994,51.334,53.674,56.014,58.354,60.694,63.034,65.374,67.714,70.054,72.394,74.734,77.074,79.414,81.754,84.094,86.434,88.774,91.114,93.454,95.794,98.134,100.474,102.814,105.154,107.494,109.834,2.34
101,1,11.7758995,14.0641144,14.90695539,17.67260896,20.40415447,23.13965293,25.87089566,28.60173592,31.33257618,34.06341644,36.79425669,39.52509695,42.25593721,46.62528163,-1.5399,15.8597,0.09735,11.546,12.461,13.376,14.484,15.86,17.624,19.99,23.376,25.742,28.108,30.474,32.84,35.206,37.572,39.938,42.304,44.67,47.036,49.402,51.768,54.134,56.5,58.866,61.232,63.598,65.964,68.33,70.696,73.062,75.428,77.794,80.16,82.526,84.892,87.258,89.624,91.99,94.356,96.722,99.088,101.454,103.82,106.186,108.552,110.918,2.366
102,1,11.78840201,14.08197753,14.92810706,17.71216367,20.47724867,23.25960446,26.02336657,28.78537027,31.54737396,34.30937765,37.07138135,39.83338504,42.59538873,47.01459464,-1.5542,15.8855,0.09778,11.558,12.475,13.392,14.503,15.886,17.663,20.056,23.5,25.893,28.286,30.679,33.072,35.465,37.858,40.251,42.644,45.037,47.43,49.823,52.216,54.609,57.002,59.395,61.788,64.181,66.574,68.967,71.36,73.753,76.146,78.539,80.932,83.325,85.718,88.111,90.504,92.897,95.29,97.683,100.076,102.469,104.862,107.255,109.648,112.041,2.393
103,1,11.80090452,14.1004617,14.94995134,17.75173892,20.55158749,23.38241638,26.17989197,28.9742133,31.76853463,34.56285596,37.35717729,40.15149861,42.94581994,47.41673407,-1.5681,15.9116,0.09821,11.57,12.489,13.408,14.523,15.912,17.702,20.123,23.627,26.048,28.469,30.89,33.311,35.732,38.153,40.574,42.995,45.416,47.837,50.258,52.679,55.1,57.521,59.942,62.363,64.784,67.205,69.626,72.047,74.468,76.889,79.31,81.731,84.152,86.573,88.994,91.415,93.836,96.257,98.678,101.099,103.52,105.941,108.362,110.783,113.204,2.421
104,1,11.81415578,14.11832482,14.971103,17.79229363,20.62604863,23.50615851,26.33636288,29.16184765,31.98733241,34.81281717,37.63830194,40.4637867,43.28927147,47.81004709,-1.5817,15.9381,0.09864,11.583,12.503,13.424,14.542,15.938,17.742,20.19,23.755,26.203,28.651,31.099,33.547,35.995,38.443,40.891,43.339,45.787,48.235,50.683,53.131,55.579,58.027,60.475,62.923,65.371,67.819,70.267,72.715,75.163,77.611,80.059,82.507,84.955,87.403,89.851,92.299,94.747,97.195,99.643,102.091,104.539,106.987,109.435,111.883,114.331,2.448
105,1,11.82690955,14.13680899,14.99325466,17.83384834,20.70163209,23.63183083,26.4948338,29.35148199,32.20813019,35.06477839,37.92142659,40.77807479,43.63472299,48.20536011,-1.5948,15.9651,0.09907,11.595,12.518,13.44,14.562,15.965,17.783,20.258,23.885,26.36,28.835,31.31,33.785,36.26,38.735,41.21,43.685,46.16,48.635,51.11,53.585,56.06,58.535,61.01,63.485,65.96,68.435,70.91,73.385,75.86,78.335,80.81,83.285,85.76,88.235,90.71,93.185,95.66,98.135,100.61,103.085,105.56,108.035,110.51,112.985,115.46,2.475
106,1,11.8401608,14.15529316,15.01540633,17.87542359,20.77846017,23.76036355,26.65735919,29.54632502,32.43529086,35.32425669,38.21322253,41.10218837,43.9911542,48.61349954,-1.6076,15.9925,0.09951,11.608,12.532,13.456,14.582,15.992,17.824,20.327,24.018,26.521,29.024,31.527,34.03,36.533,39.036,41.539,44.042,46.545,49.048,51.551,54.054,56.557,59.06,61.563,64.066,66.569,69.072,71.575,74.078,76.581,79.084,81.587,84.09,86.593,89.096,91.599,94.102,96.605,99.108,101.611,104.114,106.617,109.12,111.623,114.126,116.629,2.503
107,1,11.85366332,14.17477732,15.03855799,17.91799885,20.85616594,23.88896607,26.81988458,29.74116805,32.66245152,35.583735,38.50501847,41.42630194,44.34758541,49.02163897,-1.6199,16.0205,0.09994,11.621,12.547,13.473,14.603,16.02,17.866,20.397,24.151,26.682,29.213,31.744,34.275,36.806,39.337,41.868,44.399,46.93,49.461,51.992,54.523,57.054,59.585,62.116,64.647,67.178,69.709,72.24,74.771,77.302,79.833,82.364,84.895,87.426,89.957,92.488,95.019,97.55,100.081,102.612,105.143,107.674,110.205,112.736,115.267,117.798,2.531
108,1,11.86716583,14.19464045,15.06201703,17.96059464,20.93523865,24.02135919,26.98746445,29.94221976,32.89697507,35.85173038,38.80648569,41.761241,44.71599631,49.4436048,-1.6318,16.049,0.10038,11.634,12.562,13.491,14.624,16.049,17.908,20.468,24.288,26.848,29.408,31.968,34.528,37.088,39.648,42.208,44.768,47.328,49.888,52.448,55.008,57.568,60.128,62.688,65.248,67.808,70.368,72.928,75.488,78.048,80.608,83.168,85.728,88.288,90.848,93.408,95.968,98.528,101.088,103.648,106.208,108.768,111.328,113.888,116.448,119.008,2.56
109,1,11.8809196,14.21474566,15.08616869,18.0051699,21.01531136,24.1547523,27.15498984,30.14206279,33.12913573,36.11620868,39.10328163,42.09035457,45.07742752,49.85674423,-1.6433,16.0781,0.10082,11.647,12.578,13.508,14.646,16.078,17.952,20.54,24.426,27.014,29.602,32.19,34.778,37.366,39.954,42.542,45.13,47.718,50.306,52.894,55.482,58.07,60.658,63.246,65.834,68.422,71.01,73.598,76.186,78.774,81.362,83.95,86.538,89.126,91.714,94.302,96.89,99.478,102.066,104.654,107.242,109.83,112.418,115.006,117.594,120.182,2.588
110,1,11.89542211,14.23522983,15.11062774,18.0497657,21.0966287,24.29100582,27.32656971,30.3471145,33.36765928,36.38820406,39.40874885,42.42929363,45.44983841,50.28271006,-1.6544,16.1078,0.10126,11.661,12.594,13.526,14.668,16.108,17.996,20.613,24.567,27.184,29.801,32.418,35.035,37.652,40.269,42.886,45.503,48.12,50.737,53.354,55.971,58.588,61.205,63.822,66.439,69.056,71.673,74.29,76.907,79.524,82.141,84.758,87.375,89.992,92.609,95.226,97.843,100.46,103.077,105.694,108.311,110.928,113.545,116.162,118.779,121.396,2.617
111,1,11.90992462,14.25671399,15.1357794,18.09438204,21.17894603,24.42825933,27.50020406,30.55537488,33.61054571,36.66571653,39.72088735,42.77605817,45.83122899,50.71950231,-1.6651,16.1381,0.1017,11.675,12.61,13.545,14.691,16.138,18.04,20.687,24.709,27.356,30.003,32.65,35.297,37.944,40.591,43.238,45.885,48.532,51.179,53.826,56.473,59.12,61.767,64.414,67.061,69.708,72.355,75.002,77.649,80.296,82.943,85.59,88.237,90.884,93.531,96.178,98.825,101.472,104.119,106.766,109.413,112.06,114.707,117.354,120.001,122.648,2.647
112,1,11.92442714,14.27819816,15.16123844,18.14099838,21.26338568,24.56844304,27.67683841,30.76663527,33.85643213,36.94622899,40.03602585,43.12582271,46.21561958,51.15929455,-1.6753,16.1692,0.10214,11.689,12.626,13.564,14.714,16.169,18.086,20.763,24.854,27.531,30.208,32.885,35.562,38.239,40.916,43.593,46.27,48.947,51.624,54.301,56.978,59.655,62.332,65.009,67.686,70.363,73.04,75.717,78.394,81.071,83.748,86.425,89.102,91.779,94.456,97.133,99.81,102.487,105.164,107.841,110.518,113.195,115.872,118.549,121.226,123.903,2.677
113,1,11.9391809,14.30030337,15.18769749,18.18761473,21.34806996,24.71048715,27.85547276,30.97989566,34.10431856,37.22874146,40.35316436,43.47758726,46.60201016,51.6010868,-1.6851,16.2009,0.10259,11.703,12.643,13.583,14.738,16.201,18.132,20.839,25.001,27.708,30.415,33.122,35.829,38.536,41.243,43.95,46.657,49.364,52.071,54.778,57.485,60.192,62.899,65.606,68.313,71.02,73.727,76.434,79.141,81.848,84.555,87.262,89.969,92.676,95.383,98.09,100.797,103.504,106.211,108.918,111.625,114.332,117.039,119.746,122.453,125.16,2.707
114,1,11.95493467,14.32340858,15.21484915,18.23523107,21.43375424,24.85353127,28.03510711,31.19415605,34.35320499,37.51225392,40.67130286,43.8303518,46.98940074,52.04387904,-1.6944,16.2333,0.10303,11.718,12.661,13.603,14.763,16.233,18.179,20.916,25.149,27.886,30.623,33.36,36.097,38.834,41.571,44.308,47.045,49.782,52.519,55.256,57.993,60.73,63.467,66.204,68.941,71.678,74.415,77.152,79.889,82.626,85.363,88.1,90.837,93.574,96.311,99.048,101.785,104.522,107.259,109.996,112.733,115.47,118.207,120.944,123.681,126.418,2.737
115,1,11.97068844,14.34689275,15.24230819,18.28384741,21.52056083,24.99850557,28.21674146,31.41041644,34.60409141,37.79776639,40.99144137,44.18511634,47.37879132,52.48867128,-1.7032,16.2665,0.10347,11.733,12.679,13.624,14.788,16.266,18.227,20.994,25.299,28.066,30.833,33.6,36.367,39.134,41.901,44.668,47.435,50.202,52.969,55.736,58.503,61.27,64.037,66.804,69.571,72.338,75.105,77.872,80.639,83.406,86.173,88.94,91.707,94.474,97.241,100.008,102.775,105.542,108.309,111.076,113.843,116.61,119.377,122.144,124.911,127.678,2.767
116,1,11.98719095,14.37099796,15.27076723,18.3334843,21.60936743,25.14547988,28.40143029,31.6308855,34.86034072,38.08979594,41.31925115,44.54870637,47.77816159,52.94528994,-1.7116,16.3004,0.10391,11.749,12.697,13.645,14.814,16.3,18.276,21.074,25.451,28.249,31.047,33.845,36.643,39.441,42.239,45.037,47.835,50.633,53.431,56.229,59.027,61.825,64.623,67.421,70.219,73.017,75.815,78.613,81.411,84.209,87.007,89.805,92.603,95.401,98.199,100.997,103.795,106.593,109.391,112.189,114.987,117.785,120.583,123.381,126.179,128.977,2.798
117,1,12.00394472,14.39548212,15.29953366,18.38410065,21.69841865,25.29431459,28.58706464,31.85114589,35.11522715,38.3793084,41.64338966,44.90747091,48.17155217,53.39408218,-1.7196,16.3351,0.10435,11.765,12.716,13.667,14.84,16.335,18.326,21.154,25.605,28.433,31.261,34.089,36.917,39.745,42.573,45.401,48.229,51.057,53.885,56.713,59.541,62.369,65.197,68.025,70.853,73.681,76.509,79.337,82.165,84.993,87.821,90.649,93.477,96.305,99.133,101.961,104.789,107.617,110.445,113.273,116.101,118.929,121.757,124.585,127.413,130.241,2.828
118,1,12.02069849,14.42058733,15.3289927,18.43471699,21.78734755,25.4422191,28.77169898,32.07040628,35.36911357,38.66782087,41.96652816,45.26523546,48.56394275,53.84187442,-1.7271,16.3704,0.10478,11.781,12.735,13.689,14.867,16.37,18.376,21.234,25.758,28.616,31.474,34.332,37.19,40.048,42.906,45.764,48.622,51.48,54.338,57.196,60.054,62.912,65.77,68.628,71.486,74.344,77.202,80.06,82.918,85.776,88.634,91.492,94.35,97.208,100.066,102.924,105.782,108.64,111.498,114.356,117.214,120.072,122.93,125.788,128.646,131.504,2.858
119,1,12.03845226,14.44669254,15.35945174,18.48735388,21.87939877,25.59405381,28.96138781,32.29587535,35.63036288,38.96485042,42.29933795,45.63382548,48.96831302,54.30349307,-1.7341,16.4065,0.10522,11.798,12.755,13.712,14.895,16.406,18.428,21.317,25.915,28.804,31.693,34.582,37.471,40.36,43.249,46.138,49.027,51.916,54.805,57.694,60.583,63.472,66.361,69.25,72.139,75.028,77.917,80.806,83.695,86.584,89.473,92.362,95.251,98.14,101.029,103.918,106.807,109.696,112.585,115.474,118.363,121.252,124.141,127.03,129.919,132.808,2.889
120,1,12.05620603,14.47279775,15.39021817,18.53999077,21.97157231,25.74681871,29.15207664,32.52234441,35.89261219,39.26287996,42.63314774,46.00341551,49.37368329,54.76611173,-1.7407,16.4433,0.10566,11.815,12.775,13.735,14.923,16.443,18.48,21.4,26.073,28.993,31.913,34.833,37.753,40.673,43.593,46.513,49.433,52.353,55.273,58.193,61.113,64.033,66.953,69.873,72.793,75.713,78.633,81.553,84.473,87.393,90.313,93.233,96.153,99.073,101.993,104.913,107.833,110.753,113.673,116.593,119.513,122.433,125.353,128.273,131.193,134.113,2.92
121,1,12.07421106,14.49990296,15.42198459,18.59262765,22.06374584,25.89958362,29.34276547,32.74881348,36.1548615,39.56090951,42.96695753,46.37300554,49.77905355,55.22873038,-1.7468,16.4807,0.10609,11.832,12.796,13.759,14.952,16.481,18.532,21.483,26.231,29.182,32.133,35.084,38.035,40.986,43.937,46.888,49.839,52.79,55.741,58.692,61.643,64.594,67.545,70.496,73.447,76.398,79.349,82.3,85.251,88.202,91.153,94.104,97.055,100.006,102.957,105.908,108.859,111.81,114.761,117.712,120.663,123.614,126.565,129.516,132.467,135.418,2.951
122,1,12.09296482,14.52800817,15.45444363,18.64726454,22.15791937,26.05434852,29.53545429,32.97728255,36.4191108,39.86093906,43.30276731,46.74459557,50.18642382,55.69334903,-1.7525,16.5189,0.10652,11.85,12.817,13.784,14.982,16.519,18.586,21.568,26.391,29.373,32.355,35.337,38.319,41.301,44.283,47.265,50.247,53.229,56.211,59.193,62.175,65.157,68.139,71.121,74.103,77.085,80.067,83.049,86.031,89.013,91.995,94.977,97.959,100.941,103.923,106.905,109.887,112.869,115.851,118.833,121.815,124.797,127.779,130.761,133.743,136.725,2.982
123,1,12.11171859,14.55573442,15.48721006,18.70190143,22.25221522,26.21004363,29.72914312,33.20675162,36.68436011,40.16196861,43.6395771,47.1171856,50.59479409,56.15896768,-1.7578,16.5578,0.10695,11.868,12.838,13.808,15.012,16.558,18.64,21.653,26.552,29.565,32.578,35.591,38.604,41.617,44.63,47.643,50.656,53.669,56.682,59.695,62.708,65.721,68.734,71.747,74.76,77.773,80.786,83.799,86.812,89.825,92.838,95.851,98.864,101.877,104.89,107.903,110.916,113.929,116.942,119.955,122.968,125.981,128.994,132.007,135.02,138.033,3.013
124,1,12.13072362,14.58483963,15.5206691,18.75851777,22.34751107,26.36673873,29.92277747,33.435012,36.94724654,40.45948107,43.9717156,47.48395014,50.99618467,56.61575993,-1.7626,16.5974,0.10738,11.886,12.86,13.834,15.043,16.597,18.696,21.739,26.714,29.757,32.8,35.843,38.886,41.929,44.972,48.015,51.058,54.101,57.144,60.187,63.23,66.273,69.316,72.359,75.402,78.445,81.488,84.531,87.574,90.617,93.66,96.703,99.746,102.789,105.832,108.875,111.918,114.961,118.004,121.047,124.09,127.133,130.176,133.219,136.262,139.305,3.043
125,1,12.15047739,14.61394484,15.5547429,18.81417521,22.44356229,26.52257344,30.11752078,33.66668975,37.21585873,40.7650277,44.31419668,47.86336565,51.41253463,57.09120499,-1.767,16.6376,0.1078,11.905,12.882,13.86,15.074,16.638,18.751,21.826,26.875,29.95,33.025,36.1,39.175,42.25,45.325,48.4,51.475,54.55,57.625,60.7,63.775,66.85,69.925,73,76.075,79.15,82.225,85.3,88.375,91.45,94.525,97.6,100.675,103.75,106.825,109.9,112.975,116.05,119.125,122.2,125.275,128.35,131.425,134.5,137.575,140.65,3.075
126,1,12.17048241,14.64367109,15.58950933,18.8718121,22.54098045,26.68219874,30.3152096,33.90015882,37.48510803,41.07005725,44.65500646,48.23995568,51.82490489,57.56082364,-1.771,16.6786,0.10823,11.924,12.905,13.886,15.106,16.679,18.808,21.914,27.04,30.146,33.252,36.358,39.464,42.57,45.676,48.782,51.888,54.994,58.1,61.206,64.312,67.418,70.524,73.63,76.736,79.842,82.948,86.054,89.16,92.266,95.372,98.478,101.584,104.69,107.796,110.902,114.008,117.114,120.22,123.326,126.432,129.538,132.644,135.75,138.856,141.962,3.106
127,1,12.19048744,14.67439734,15.62496837,18.92944898,22.6382763,26.84089384,30.51189843,34.13262789,37.75335734,41.3740868,44.99481625,48.61554571,52.23627516,58.02944229,-1.7745,16.7203,0.10865,11.943,12.928,13.913,15.139,16.72,18.865,22.002,27.204,30.341,33.478,36.615,39.752,42.889,46.026,49.163,52.3,55.437,58.574,61.711,64.848,67.985,71.122,74.259,77.396,80.533,83.67,86.807,89.944,93.081,96.218,99.355,102.492,105.629,108.766,111.903,115.04,118.177,121.314,124.451,127.588,130.725,133.862,136.999,140.136,143.273,3.137
128,1,12.21224121,14.70550255,15.66104217,18.98806533,22.73544983,26.99865875,30.70653278,34.36188827,38.01724377,41.67259926,45.32795476,48.98331025,52.63866574,58.48723453,-1.7777,16.7628,0.10906,11.964,12.952,13.941,15.172,16.763,18.923,22.09,27.367,30.534,33.701,36.868,40.035,43.202,46.369,49.536,52.703,55.87,59.037,62.204,65.371,68.538,71.705,74.872,78.039,81.206,84.373,87.54,90.707,93.874,97.041,100.208,103.375,106.542,109.709,112.876,116.043,119.21,122.377,125.544,128.711,131.878,135.045,138.212,141.379,144.546,3.167
129,1,12.23324623,14.7372288,15.6978086,19.04770222,22.83474568,27.15935385,30.90522161,34.59635734,38.28749307,41.97862881,45.66976454,49.36090028,53.05203601,58.95785319,-1.7804,16.8059,0.10948,11.984,12.976,13.969,15.206,16.806,18.982,22.18,27.533,30.731,33.929,37.127,40.325,43.523,46.721,49.919,53.117,56.315,59.513,62.711,65.909,69.107,72.305,75.503,78.701,81.899,85.097,88.295,91.493,94.691,97.889,101.087,104.285,107.483,110.681,113.879,117.077,120.275,123.473,126.671,129.869,133.067,136.265,139.463,142.661,145.859,3.198
130,1,12.25450251,14.76995506,15.73557502,19.1083391,22.9347969,27.31918856,31.10291043,34.82982641,38.55674238,42.28365836,46.01057433,49.7374903,53.46440628,59.42747184,-1.7828,16.8497,0.10989,12.004,13.001,13.998,15.241,16.85,19.042,22.271,27.698,30.927,34.156,37.385,40.614,43.843,47.072,50.301,53.53,56.759,59.988,63.217,66.446,69.675,72.904,76.133,79.362,82.591,85.82,89.049,92.278,95.507,98.736,101.965,105.194,108.423,111.652,114.881,118.11,121.339,124.568,127.797,131.026,134.255,137.484,140.713,143.942,147.171,3.229
131,1,12.27650754,14.80268131,15.77334144,19.16897599,23.03484812,27.47902327,31.30059926,35.06329548,38.82599169,42.5886879,46.35138412,50.11408033,53.87677655,59.89709049,-1.7847,16.8941,0.1103,12.025,13.026,14.027,15.276,16.894,19.102,22.362,27.863,31.123,34.383,37.643,40.903,44.163,47.423,50.683,53.943,57.203,60.463,63.723,66.983,70.243,73.503,76.763,80.023,83.283,86.543,89.803,93.063,96.323,99.583,102.843,106.103,109.363,112.623,115.883,119.143,122.403,125.663,128.923,132.183,135.443,138.703,141.963,145.223,148.483,3.26
132,1,12.29851256,14.8360286,15.81210787,19.23057179,23.13389934,27.63785797,31.49517913,35.29134718,39.08751524,42.88368329,46.67985134,50.47601939,54.27218744,60.34605633,-1.7862,16.9392,0.1107,12.046,13.051,14.056,15.312,16.939,19.163,22.452,28.027,31.316,34.605,37.894,41.183,44.472,47.761,51.05,54.339,57.628,60.917,64.206,67.495,70.784,74.073,77.362,80.651,83.94,87.229,90.518,93.807,97.096,100.385,103.674,106.963,110.252,113.541,116.83,120.119,123.408,126.697,129.986,133.275,136.564,139.853,143.142,146.431,149.72,3.289
133,1,12.32151759,14.87013381,15.85118167,19.29220868,23.23482824,27.79776248,31.69286796,35.52481625,39.35676454,43.18871283,47.02066113,50.85260942,54.68455771,60.81567498,-1.7873,16.985,0.1111,12.068,13.077,14.087,15.348,16.985,19.224,22.544,28.192,31.512,34.832,38.152,41.472,44.792,48.112,51.432,54.752,58.072,61.392,64.712,68.032,71.352,74.672,77.992,81.312,84.632,87.952,91.272,94.592,97.912,101.232,104.552,107.872,111.192,114.512,117.832,121.152,124.472,127.792,131.112,134.432,137.752,141.072,144.392,147.712,151.032,3.32
134,1,12.34452261,14.9044811,15.89094809,19.35582502,23.33663484,27.95773679,31.88950231,35.75607664,39.62265097,43.4892253,47.35579963,51.22237396,55.08894829,61.27546722,-1.7881,17.0314,0.1115,12.09,13.103,14.117,15.385,17.031,19.287,22.637,28.357,31.707,35.057,38.407,41.757,45.107,48.457,51.807,55.157,58.507,61.857,65.207,68.557,71.907,75.257,78.607,81.957,85.307,88.657,92.007,95.357,98.707,102.057,105.407,108.757,112.107,115.457,118.807,122.157,125.507,128.857,132.207,135.557,138.907,142.257,145.607,148.957,152.307,3.35
135,1,12.36777889,14.93920735,15.9310219,19.41844137,23.43731911,28.1157809,32.08413666,35.98533703,39.8865374,43.78773777,47.68893813,51.5901385,55.49133887,61.73325946,-1.7884,17.0784,0.11189,12.112,13.13,14.148,15.422,17.078,19.349,22.729,28.52,31.9,35.28,38.66,42.04,45.42,48.8,52.18,55.56,58.94,62.32,65.7,69.08,72.46,75.84,79.22,82.6,85.98,89.36,92.74,96.12,99.5,102.88,106.26,109.64,113.02,116.4,119.78,123.16,126.54,129.92,133.3,136.68,140.06,143.44,146.82,150.2,153.58,3.38
136,1,12.39103518,14.97555465,15.97278832,19.48303717,23.53900339,28.27482501,32.27871653,36.21338873,40.14806094,44.08273315,48.01740536,51.95207756,55.88674977,62.1822253,-1.7884,17.1262,0.11228,12.134,13.157,14.18,15.461,17.126,19.413,22.822,28.684,32.093,35.502,38.911,42.32,45.729,49.138,52.547,55.956,59.365,62.774,66.183,69.592,73.001,76.41,79.819,83.228,86.637,90.046,93.455,96.864,100.273,103.682,107.091,110.5,113.909,117.318,120.727,124.136,127.545,130.954,134.363,137.772,141.181,144.59,147.999,151.408,154.817,3.409
137,1,12.41529146,15.0112809,16.01416951,19.54763296,23.64044304,28.43200873,32.4712964,36.43944044,40.40758449,44.37572853,48.34387258,52.31201662,56.28016066,62.62919114,-1.788,17.1746,0.11266,12.157,13.185,14.212,15.499,17.175,19.477,22.915,28.846,32.284,35.722,39.16,42.598,46.036,49.474,52.912,56.35,59.788,63.226,66.664,70.102,73.54,76.978,80.416,83.854,87.292,90.73,94.168,97.606,101.044,104.482,107.92,111.358,114.796,118.234,121.672,125.11,128.548,131.986,135.424,138.862,142.3,145.738,149.176,152.614,156.052,3.438
138,1,12.44029648,15.04862819,16.05693593,19.61322876,23.74276038,28.58926224,32.66387627,36.66549215,40.66710803,44.66872392,48.6703398,52.67195568,56.67357156,63.07615697,-1.7873,17.2236,0.11304,12.181,13.213,14.245,15.539,17.224,19.542,23.009,29.008,32.475,35.942,39.409,42.876,46.343,49.81,53.277,56.744,60.211,63.678,67.145,70.612,74.079,77.546,81.013,84.48,87.947,91.414,94.881,98.348,101.815,105.282,108.749,112.216,115.683,119.15,122.617,126.084,129.551,133.018,136.485,139.952,143.419,146.886,150.353,153.82,157.287,3.467
139,1,12.46455276,15.08535444,16.09900973,19.67884511,23.84583309,28.74565536,32.85651062,36.89275254,40.92899446,44.96523638,49.0014783,53.03772022,57.07396214,63.53194922,-1.7861,17.2734,0.11342,12.204,13.241,14.278,15.578,17.273,19.607,23.104,29.169,32.666,36.163,39.66,43.157,46.654,50.151,53.648,57.145,60.642,64.139,67.636,71.133,74.63,78.127,81.624,85.121,88.618,92.115,95.612,99.109,102.606,106.103,109.6,113.097,116.594,120.091,123.588,127.085,130.582,134.079,137.576,141.073,144.57,148.067,151.564,155.061,158.558,3.497
140,1,12.48980905,15.12370174,16.14308354,19.74642036,23.94878349,28.90111827,33.04603601,37.11459557,41.18315512,45.25171468,49.32027424,53.3888338,57.45739335,63.96708864,-1.7846,17.324,0.11379,12.228,13.27,14.312,15.619,17.324,19.674,23.199,29.329,32.854,36.379,39.904,43.429,46.954,50.479,54.004,57.529,61.054,64.579,68.104,71.629,75.154,78.679,82.204,85.729,89.254,92.779,96.304,99.829,103.354,106.879,110.404,113.929,117.454,120.979,124.504,128.029,131.554,135.079,138.604,142.129,145.654,149.179,152.704,156.229,159.754,3.525
