age_months,sex,14.5,18.5,20,25,30,35,40,45,50,55,60,65,70,78,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,difference_SD1_SD2
66,1,11.43738693,13.66626251,14.43008597,16.71039197,18.59646227,20.22435046,22.13019668,24.06232964,25.9944626,27.92659557,29.85872853,31.7908615,33.72299446,36.8144072,-0.8554,15.2645,0.08516,11.21,12.115,13.021,14.06,15.264,16.676,18.35,20.365,22.039,23.713,25.387,27.061,28.735,30.409,32.083,33.757,35.431,37.105,38.779,40.453,42.127,43.801,45.475,47.149,48.823,50.497,52.171,53.845,55.519,57.193,58.867,60.541,62.215,63.889,65.563,67.237,68.911,70.585,72.259,73.933,75.607,77.281,78.955,80.629,82.303,1.674
67,1,11.44013568,13.66688355,14.43200811,16.72067959,18.6233978,20.27067523,22.19295937,24.14125115,26.08954294,28.03783472,29.9861265,31.93441828,33.88271006,36.99997692,-0.8785,15.2684,0.08543,11.213,12.117,13.021,14.061,15.268,16.686,18.374,20.413,22.101,23.789,25.477,27.165,28.853,30.541,32.229,33.917,35.605,37.293,38.981,40.669,42.357,44.045,45.733,47.421,49.109,50.797,52.485,54.173,55.861,57.549,59.237,60.925,62.613,64.301,65.989,67.677,69.365,71.053,72.741,74.429,76.117,77.805,79.493,81.181,82.869,1.688
68,1,11.44488442,13.66888355,14.43523763,16.73392613,18.65145565,20.3189302,22.25561311,24.21775531,26.17989751,28.1420397,30.1041819,32.0663241,34.0284663,37.16789381,-0.9015,15.2737,0.0857,11.218,12.121,13.023,14.063,15.274,16.699,18.399,20.463,22.163,23.863,25.563,27.263,28.963,30.663,32.363,34.063,35.763,37.463,39.163,40.863,42.563,44.263,45.963,47.663,49.363,51.063,52.763,54.463,56.163,57.863,59.563,61.263,62.963,64.663,66.363,68.063,69.763,71.463,73.163,74.863,76.563,78.263,79.963,81.663,83.363,1.7
69,1,11.44963317,13.6725046,14.43985239,16.7472343,18.68239118,20.36925497,22.32343029,24.3028855,26.28234072,28.26179594,30.24125115,32.22070637,34.20016159,37.36728994,-0.9243,15.2801,0.08597,11.223,12.125,13.026,14.067,15.28,16.712,18.427,20.515,22.23,23.945,25.66,27.375,29.09,30.805,32.52,34.235,35.95,37.665,39.38,41.095,42.81,44.525,46.24,47.955,49.67,51.385,53.1,54.815,56.53,58.245,59.96,61.675,63.39,65.105,66.82,68.535,70.25,71.965,73.68,75.395,77.11,78.825,80.54,82.255,83.97,1.715
70,1,11.45438191,13.6765046,14.44508191,16.76252193,18.71469365,20.42337033,22.39419298,24.38980702,26.38542105,28.38103509,30.37664912,32.37226316,34.36787719,37.56085965,-0.9471,15.2877,0.08625,11.228,12.129,13.03,14.071,15.288,16.727,18.456,20.571,22.3,24.029,25.758,27.487,29.216,30.945,32.674,34.403,36.132,37.861,39.59,41.319,43.048,44.777,46.506,48.235,49.964,51.693,53.422,55.151,56.88,58.609,60.338,62.067,63.796,65.525,67.254,68.983,70.712,72.441,74.17,75.899,77.628,79.357,81.086,82.815,84.544,1.729
71,1,11.46113065,13.68212564,14.45169667,16.7788301,18.74887381,20.4785555,22.46701016,24.47993721,26.49286427,28.50579132,30.51871837,32.53164543,34.54457248,37.76525577,-0.9697,15.2965,0.08653,11.235,12.135,13.035,14.077,15.296,16.743,18.487,20.628,22.372,24.116,25.86,27.604,29.348,31.092,32.836,34.58,36.324,38.068,39.812,41.556,43.3,45.044,46.788,48.532,50.276,52.02,53.764,55.508,57.252,58.996,60.74,62.484,64.228,65.972,67.716,69.46,71.204,72.948,74.692,76.436,78.18,79.924,81.668,83.412,85.156,1.744
72,1,11.4678794,13.68774668,14.4589262,16.79713827,18.78529859,20.53760107,22.54382733,24.57406741,26.60430748,28.63454755,30.66478763,32.6950277,34.72526777,37.97365189,-0.9921,15.3062,0.08682,11.242,12.141,13.04,14.083,15.306,16.761,18.52,20.689,22.448,24.207,25.966,27.725,29.484,31.243,33.002,34.761,36.52,38.279,40.038,41.797,43.556,45.315,47.074,48.833,50.592,52.351,54.11,55.869,57.628,59.387,61.146,62.905,64.664,66.423,68.182,69.941,71.7,73.459,75.218,76.977,78.736,80.495,82.254,84.013,85.772,1.759
73,1,11.4748794,13.69474668,14.46715572,16.81644645,18.82272338,20.59764663,22.62164451,24.6691976,26.71675069,28.76430379,30.81185688,32.85940997,34.90696307,38.18304801,-1.0144,15.3169,0.08711,11.249,12.148,13.047,14.09,15.317,16.78,18.554,20.751,22.525,24.299,26.073,27.847,29.621,31.395,33.169,34.943,36.717,38.491,40.265,42.039,43.813,45.587,47.361,49.135,50.909,52.683,54.457,56.231,58.005,59.779,61.553,63.327,65.101,66.875,68.649,70.423,72.197,73.971,75.745,77.519,79.293,81.067,82.841,84.615,86.389,1.774
74,1,11.48262814,13.70198876,14.47607786,16.83577516,18.86139279,20.66055259,22.70351616,24.76953647,26.83555679,28.9015771,30.96759741,33.03361773,35.09963804,38.40527054,-1.0365,15.3285,0.08741,11.257,12.155,13.053,14.098,15.328,16.799,18.589,20.816,22.606,24.396,26.186,27.976,29.766,31.556,33.346,35.136,36.926,38.716,40.506,42.296,44.086,45.876,47.666,49.456,51.246,53.036,54.826,56.616,58.406,60.196,61.986,63.776,65.566,67.356,69.146,70.936,72.726,74.516,76.306,78.096,79.886,81.676,83.466,85.256,87.046,1.79
75,1,11.49062814,13.71060981,14.48630738,16.85710388,18.90206221,20.72545856,22.78738781,24.87187535,26.95636288,29.04085042,31.12533795,33.20982548,35.29431302,38.62949307,-1.0584,15.3408,0.08771,11.265,12.163,13.061,14.107,15.341,16.82,18.626,20.883,22.689,24.495,26.301,28.107,29.913,31.719,33.525,35.331,37.137,38.943,40.749,42.555,44.361,46.167,47.973,49.779,51.585,53.391,55.197,57.003,58.809,60.615,62.421,64.227,66.033,67.839,69.645,71.451,73.257,75.063,76.869,78.675,80.481,82.287,84.093,85.899,87.705,1.806
