,age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,distance_SBMI
20,20,1,-0.5836,15.9786,0.07837,11.885,12.819,13.753,14.8,15.979,17.313,18.833,20.576,22.096,23.616,25.136,26.656,28.176,29.695999999999998,31.215999999999998,32.736,34.256,35.775999999999996,37.29599999999999,38.815999999999995,40.336,41.855999999999995,43.37599999999999,44.895999999999994,46.416,47.93599999999999,49.45599999999999,50.97599999999999,52.495999999999995,54.01599999999999,55.535999999999994,57.05599999999999,58.575999999999986,60.09599999999999,61.61599999999999,63.13599999999999,64.65599999999998,66.17599999999999,67.696,69.21599999999998,70.73599999999999,72.25599999999999,73.77599999999998,75.29599999999999,76.81599999999997,1.5199999999999996
21,21,1,-0.6002,15.9087,0.0782,11.847,12.774,13.7,14.738,15.909,17.235,18.748,20.486,21.999000000000002,23.512000000000004,25.025000000000006,26.538000000000007,28.05100000000001,29.56400000000001,31.077000000000012,32.59000000000002,34.103000000000016,35.616000000000014,37.12900000000002,38.642000000000024,40.15500000000002,41.66800000000002,43.181000000000026,44.69400000000003,46.20700000000003,47.72000000000003,49.23300000000003,50.74600000000004,52.259000000000036,53.772000000000034,55.28500000000004,56.798000000000044,58.31100000000005,59.82400000000004,61.337000000000046,62.85000000000005,64.36300000000006,65.87600000000005,67.38900000000005,68.90200000000006,70.41500000000006,71.92800000000005,73.44100000000006,74.95400000000006,76.46700000000007,1.5130000000000017
22,22,1,-0.6166,15.8444,0.07803,11.814,12.732,13.651,14.682,15.844,17.164,18.67,20.402,21.908,23.414,24.92,26.426000000000002,27.932000000000002,29.438000000000002,30.944000000000003,32.45,33.956,35.462,36.968,38.474000000000004,39.980000000000004,41.486000000000004,42.992000000000004,44.498000000000005,46.004000000000005,47.510000000000005,49.016000000000005,50.522000000000006,52.028000000000006,53.534000000000006,55.040000000000006,56.54600000000001,58.05200000000001,59.55800000000001,61.06400000000001,62.57000000000001,64.07600000000001,65.58200000000001,67.08800000000001,68.59400000000001,70.10000000000001,71.60600000000001,73.11200000000001,74.61800000000001,76.12400000000001,1.5060000000000002
23,23,1,-0.6318,15.7888,0.07787,11.786,12.697,13.609,14.633,15.789,17.101,18.602,20.329,21.830000000000002,23.331000000000003,24.832000000000004,26.333000000000006,27.834000000000007,29.335000000000008,30.83600000000001,32.33700000000001,33.83800000000001,35.33900000000001,36.84000000000002,38.341000000000015,39.84200000000001,41.34300000000002,42.84400000000002,44.34500000000002,45.84600000000002,47.34700000000002,48.84800000000003,50.349000000000025,51.85000000000002,53.35100000000003,54.852000000000025,56.35300000000003,57.854000000000035,59.35500000000003,60.85600000000003,62.357000000000035,63.85800000000004,65.35900000000004,66.86000000000004,68.36100000000005,69.86200000000005,71.36300000000004,72.86400000000003,74.36500000000004,75.86600000000004,1.5010000000000012
24,24,1,-0.6464,15.7388,0.07772,11.761,12.666,13.572,14.589,15.739,17.045,18.54,20.264,21.758999999999997,23.253999999999994,24.74899999999999,26.24399999999999,27.738999999999987,29.233999999999984,30.72899999999998,32.223999999999975,33.71899999999998,35.21399999999997,36.708999999999975,38.203999999999965,39.69899999999997,41.19399999999996,42.688999999999965,44.183999999999955,45.67899999999996,47.17399999999995,48.668999999999954,50.163999999999945,51.65899999999995,53.15399999999994,54.648999999999944,56.143999999999934,57.63899999999994,59.13399999999993,60.628999999999934,62.123999999999924,63.61899999999993,65.11399999999992,66.60899999999992,68.10399999999991,69.59899999999992,71.09399999999991,72.58899999999991,74.0839999999999,75.57899999999991,1.4949999999999974
25,25,1,-0.5863,15.9825,0.07791,11.909,12.839,13.769,14.81,15.982,17.309,18.82,20.55,22.061,23.572,25.083,26.593999999999998,28.104999999999997,29.615999999999996,31.126999999999995,32.63799999999999,34.148999999999994,35.66,37.17099999999999,38.68199999999999,40.19299999999999,41.70399999999999,43.21499999999999,44.725999999999985,46.23699999999999,47.74799999999999,49.258999999999986,50.76999999999998,52.280999999999985,53.79199999999999,55.30299999999998,56.81399999999998,58.324999999999974,59.835999999999984,61.34699999999998,62.857999999999976,64.36899999999997,65.87999999999998,67.39099999999998,68.90199999999997,70.41299999999997,71.92399999999998,73.43499999999997,74.94599999999997,76.45699999999997,1.5109999999999992
26,26,1,-0.5523,15.9443,0.07799,11.862,12.795,13.729,14.772,15.944,17.267,18.769,20.484,21.986,23.488,24.99,26.491999999999997,27.993999999999996,29.495999999999995,30.997999999999994,32.49999999999999,34.001999999999995,35.50399999999999,37.005999999999986,38.50799999999999,40.00999999999999,41.511999999999986,43.01399999999998,44.515999999999984,46.01799999999999,47.51999999999998,49.02199999999998,50.52399999999998,52.02599999999998,53.52799999999998,55.02999999999998,56.531999999999975,58.03399999999997,59.53599999999997,61.037999999999975,62.53999999999997,64.04199999999997,65.54399999999997,67.04599999999996,68.54799999999997,70.04999999999995,71.55199999999996,73.05399999999997,74.55599999999995,76.05799999999996,1.501999999999999
27,27,1,-0.5196,15.9071,0.07808,11.815,12.752,13.689,14.735,15.907,17.227,18.721,20.42,21.914,23.408,24.902,26.396,27.89,29.384,30.878,32.372,33.866,35.36,36.854,38.348,39.842,41.336,42.83,44.324,45.818,47.312,48.806,50.3,51.794,53.288,54.782,56.275999999999996,57.769999999999996,59.263999999999996,60.757999999999996,62.251999999999995,63.745999999999995,65.24,66.734,68.228,69.722,71.216,72.71,74.204,75.698,1.4939999999999998
28,28,1,-0.4873,15.8694,0.07818,11.769,12.709,13.65,14.697,15.869,17.186,18.672,20.358,21.844,23.330000000000002,24.816000000000003,26.302000000000003,27.788000000000004,29.274000000000004,30.760000000000005,32.24600000000001,33.732000000000006,35.218,36.70400000000001,38.19000000000001,39.67600000000001,41.162000000000006,42.64800000000001,44.134000000000015,45.62000000000001,47.10600000000001,48.59200000000001,50.07800000000002,51.564000000000014,53.05000000000001,54.536000000000016,56.02200000000002,57.508000000000024,58.994000000000014,60.48000000000002,61.96600000000002,63.45200000000003,64.93800000000002,66.42400000000002,67.91000000000003,69.39600000000003,70.88200000000002,72.36800000000002,73.85400000000003,75.34000000000003,1.4860000000000007
29,29,1,-0.4578,15.8338,0.07828,11.724,12.668,13.612,14.662,15.834,17.148,18.627,20.299,21.778,23.256999999999998,24.735999999999997,26.214999999999996,27.693999999999996,29.172999999999995,30.651999999999994,32.13099999999999,33.60999999999999,35.08899999999999,36.56799999999999,38.04699999999999,39.52599999999999,41.00499999999999,42.48399999999999,43.96299999999999,45.441999999999986,46.920999999999985,48.399999999999984,49.878999999999984,51.35799999999998,52.83699999999998,54.31599999999998,55.79499999999998,57.27399999999998,58.75299999999998,60.23199999999998,61.71099999999998,63.189999999999976,64.66899999999998,66.14799999999997,67.62699999999998,69.10599999999997,70.58499999999998,72.06399999999996,73.54299999999998,75.02199999999996,1.4789999999999992
30,30,1,-0.4301,15.7989,0.0784,11.681,12.628,13.575,14.626,15.799,17.111,18.584,20.245,21.718,23.191,24.663999999999998,26.136999999999997,27.609999999999996,29.082999999999995,30.555999999999994,32.028999999999996,33.501999999999995,34.974999999999994,36.44799999999999,37.92099999999999,39.39399999999999,40.86699999999999,42.33999999999999,43.81299999999999,45.28599999999999,46.758999999999986,48.231999999999985,49.704999999999984,51.17799999999998,52.65099999999998,54.12399999999998,55.59699999999998,57.06999999999998,58.54299999999998,60.01599999999998,61.488999999999976,62.961999999999975,64.43499999999997,65.90799999999997,67.38099999999997,68.85399999999997,70.32699999999997,71.79999999999997,73.27299999999997,74.74599999999997,1.472999999999999
31,31,1,-0.4037,15.7635,0.07853,11.637,12.587,13.537,14.591,15.764,17.073,18.54,20.191,21.657999999999998,23.124999999999996,24.591999999999995,26.058999999999994,27.525999999999993,28.99299999999999,30.45999999999999,31.92699999999999,33.39399999999999,34.86099999999999,36.32799999999999,37.79499999999999,39.261999999999986,40.728999999999985,42.195999999999984,43.66299999999998,45.12999999999998,46.59699999999998,48.06399999999998,49.53099999999998,50.997999999999976,52.464999999999975,53.931999999999974,55.39899999999997,56.86599999999997,58.33299999999997,59.79999999999997,61.26699999999997,62.733999999999966,64.20099999999996,65.66799999999996,67.13499999999996,68.60199999999996,70.06899999999996,71.53599999999996,73.00299999999996,74.46999999999996,1.4669999999999987
32,32,1,-0.3804,15.73,0.07866,11.595,12.548,13.501,14.557,15.73,17.038,18.5,20.142,21.604,23.066,24.528,25.99,27.451999999999998,28.913999999999998,30.375999999999998,31.837999999999997,33.3,34.762,36.224,37.68599999999999,39.147999999999996,40.61,42.071999999999996,43.53399999999999,44.995999999999995,46.458,47.919999999999995,49.38199999999999,50.843999999999994,52.306,53.76799999999999,55.22999999999999,56.69199999999999,58.153999999999996,59.615999999999985,61.07799999999999,62.53999999999999,64.002,65.46399999999998,66.92599999999999,68.38799999999999,69.85,71.31199999999998,72.77399999999999,74.23599999999999,1.4619999999999997
33,33,1,-0.3594,15.6971,0.0788,11.555,12.511,13.466,14.524,15.697,17.003,18.462,20.096,21.555,23.014,24.473,25.932,27.391,28.849999999999998,30.308999999999997,31.767999999999997,33.227,34.68599999999999,36.144999999999996,37.604,39.062999999999995,40.52199999999999,41.980999999999995,43.44,44.898999999999994,46.35799999999999,47.81699999999999,49.275999999999996,50.73499999999999,52.19399999999999,53.65299999999999,55.111999999999995,56.571,58.02999999999999,59.48899999999999,60.94799999999999,62.407,63.865999999999985,65.32499999999999,66.78399999999999,68.243,69.70199999999998,71.16099999999999,72.61999999999999,74.079,1.4589999999999996
34,34,1,-0.3404,15.664,0.07896,11.515,12.473,13.431,14.49,15.664,16.969,18.425,20.052,21.508,22.964,24.419999999999998,25.875999999999998,27.331999999999997,28.787999999999997,30.243999999999996,31.699999999999996,33.15599999999999,34.611999999999995,36.068,37.523999999999994,38.97999999999999,40.43599999999999,41.891999999999996,43.34799999999999,44.80399999999999,46.25999999999999,47.715999999999994,49.17199999999999,50.627999999999986,52.08399999999999,53.539999999999985,54.99599999999999,56.45199999999999,57.90799999999999,59.36399999999998,60.819999999999986,62.27599999999999,63.731999999999985,65.18799999999999,66.64399999999998,68.1,69.55599999999998,71.01199999999997,72.46799999999999,73.92399999999998,1.4559999999999995
35,35,1,-0.3247,15.6328,0.07912,11.478,12.437,13.397,14.458,15.633,16.937,18.39,20.013,21.466,22.919,24.372,25.825,27.278,28.730999999999998,30.183999999999997,31.636999999999997,33.089999999999996,34.54299999999999,35.995999999999995,37.449,38.901999999999994,40.35499999999999,41.80799999999999,43.260999999999996,44.71399999999999,46.16699999999999,47.61999999999999,49.07299999999999,50.52599999999999,51.978999999999985,53.43199999999999,54.88499999999999,56.337999999999994,57.79099999999998,59.243999999999986,60.69699999999999,62.14999999999999,63.60299999999998,65.05599999999998,66.50899999999999,67.96199999999999,69.41499999999998,70.86799999999998,72.32099999999998,73.77399999999999,1.4529999999999994
36,36,1,-0.3112,15.6015,0.07929,11.441,12.402,13.364,14.426,15.602,16.906,18.357,19.975,21.426000000000002,22.877000000000002,24.328000000000003,25.779000000000003,27.230000000000004,28.681000000000004,30.132000000000005,31.583000000000006,33.034000000000006,34.48500000000001,35.93600000000001,37.38700000000001,38.83800000000001,40.28900000000001,41.74000000000001,43.19100000000001,44.64200000000001,46.09300000000001,47.54400000000001,48.99500000000001,50.44600000000001,51.89700000000001,53.34800000000001,54.799000000000014,56.250000000000014,57.701000000000015,59.152000000000015,60.603000000000016,62.054000000000016,63.50500000000002,64.95600000000002,66.40700000000001,67.85800000000002,69.30900000000003,70.76000000000002,72.21100000000001,73.66200000000002,1.4510000000000005
37,37,1,-0.3009,15.5723,0.07948,11.406,12.369,13.333,14.396,15.572,16.877,18.327,19.944,21.394000000000002,22.844000000000005,24.294000000000008,25.74400000000001,27.194000000000013,28.644000000000016,30.09400000000002,31.544000000000022,32.99400000000003,34.44400000000003,35.894000000000034,37.34400000000004,38.79400000000004,40.24400000000004,41.694000000000045,43.14400000000005,44.59400000000005,46.044000000000054,47.49400000000006,48.94400000000006,50.39400000000006,51.844000000000065,53.29400000000007,54.74400000000007,56.194000000000074,57.64400000000008,59.09400000000008,60.54400000000008,61.994000000000085,63.44400000000009,64.89400000000009,66.3440000000001,67.7940000000001,69.2440000000001,70.6940000000001,72.1440000000001,73.59400000000011,1.4500000000000028
38,38,1,-0.2934,15.5443,0.07967,11.374,12.338,13.303,14.367,15.544,16.849,18.3,19.915,21.366,22.817,24.268,25.719,27.17,28.621000000000002,30.072000000000003,31.523000000000003,32.974000000000004,34.425000000000004,35.876000000000005,37.327000000000005,38.778000000000006,40.229000000000006,41.68000000000001,43.13100000000001,44.58200000000001,46.03300000000001,47.48400000000001,48.93500000000001,50.38600000000001,51.83700000000001,53.28800000000001,54.73900000000001,56.19000000000001,57.64100000000001,59.09200000000001,60.54300000000001,61.994000000000014,63.445000000000014,64.89600000000002,66.34700000000001,67.79800000000002,69.24900000000002,70.70000000000002,72.15100000000001,73.60200000000002,1.4510000000000005
